DATE,IRLTLT01GBM156N
1960-01-01,5.33
1960-02-01,5.4
1960-03-01,5.59
1960-04-01,5.67
1960-05-01,5.69
1960-06-01,6.04
1960-07-01,6.01
1960-08-01,6.03
1960-09-01,6.1
1960-10-01,6.1
1960-11-01,6.14
1960-12-01,6.17
1961-01-01,6.15
1961-02-01,6
1961-03-01,6.06
1961-04-01,6.03
1961-05-01,6.09
1961-06-01,6.34
1961-07-01,6.56
1961-08-01,6.69
1961-09-01,6.68
1961-10-01,6.11
1961-11-01,6.21
1961-12-01,6.25
1962-01-01,6.2
1962-02-01,6.27
1962-03-01,6.27
1962-04-01,6.28
1962-05-01,6.28
1962-06-01,6.19
1962-07-01,5.81
1962-08-01,5.62
1962-09-01,4.89
1962-10-01,5.05
1962-11-01,5.17
1962-12-01,5.14
1963-01-01,5.23
1963-02-01,5.43
1963-03-01,5.45
1963-04-01,5.29
1963-05-01,5.17
1963-06-01,5.08
1963-07-01,5.06
1963-08-01,4.96
1963-09-01,4.9
1963-10-01,4.97
1963-11-01,5.21
1963-12-01,5.24
1964-01-01,5.27
1964-02-01,5.45
1964-03-01,5.46
1964-04-01,5.49
1964-05-01,5.55
1964-06-01,5.64
1964-07-01,5.76
1964-08-01,5.75
1964-09-01,5.77
1964-10-01,5.84
1964-11-01,6.07
1964-12-01,6.38
1965-01-01,6.35
1965-02-01,6.36
1965-03-01,6.52
1965-04-01,6.6
1965-05-01,6.69
1965-06-01,6.73
1965-07-01,6.79
1965-08-01,6.68
1965-09-01,6.47
1965-10-01,6.43
1965-11-01,6.41
1965-12-01,6.59
1966-01-01,6.42
1966-02-01,6.55
1966-03-01,6.73
1966-04-01,6.7
1966-05-01,6.76
1966-06-01,7
1966-07-01,7.34
1966-08-01,7.49
1966-09-01,7
1966-10-01,6.92
1966-11-01,6.86
1966-12-01,6.63
1967-01-01,6.57
1967-02-01,6.4
1967-03-01,6.43
1967-04-01,6.37
1967-05-01,6.42
1967-06-01,6.64
1967-07-01,6.81
1967-08-01,6.71
1967-09-01,6.74
1967-10-01,6.9
1967-11-01,7.1
1967-12-01,7.31
1968-01-01,7.3
1968-02-01,7.27
1968-03-01,7.3
1968-04-01,7.27
1968-05-01,7.36
1968-06-01,7.61
1968-07-01,7.69
1968-08-01,7.55
1968-09-01,7.5
1968-10-01,7.52
1968-11-01,7.73
1968-12-01,8.01
1969-01-01,8.26
1969-02-01,8.4
1969-03-01,8.66
1969-04-01,8.65
1969-05-01,8.97
1969-06-01,9.29
1969-07-01,8.98
1969-08-01,9.02
1969-09-01,9.06
1969-10-01,8.84
1969-11-01,8.92
1969-12-01,8.91
1970-01-01,8.89
1970-02-01,8.68
1970-03-01,8.54
1970-04-01,8.55
1970-05-01,8.8
1970-06-01,8.85
1970-07-01,8.5
1970-08-01,8.33
1970-09-01,8.43
1970-10-01,8.42
1970-11-01,8.69
1970-12-01,8.93
1971-01-01,8.8
1971-02-01,8.59
1971-03-01,8.34
1971-04-01,8.21
1971-05-01,8.09
1971-06-01,8.14
1971-07-01,7.71
1971-08-01,7.69
1971-09-01,7.47
1971-10-01,7.24
1971-11-01,7.05
1971-12-01,7.09
1972-01-01,7.03
1972-02-01,7.05
1972-03-01,7.39
1972-04-01,7.44
1972-05-01,7.85
1972-06-01,8.95
1972-07-01,8.9
1972-08-01,9.05
1972-09-01,9.29
1972-10-01,9.1
1972-11-01,9.09
1972-12-01,9.36
1973-01-01,9.17
1973-02-01,9.33
1973-03-01,9.78
1973-04-01,9.66
1973-05-01,9.74
1973-06-01,9.88
1973-07-01,10.43
1973-08-01,11.22
1973-09-01,11.48
1973-10-01,11.29
1973-11-01,12.08
1973-12-01,12.64
1974-01-01,13
1974-02-01,13.46
1974-03-01,13.51
1974-04-01,13.82
1974-05-01,13.33
1974-06-01,13.81
1974-07-01,14.17
1974-08-01,14.52
1974-09-01,14.17
1974-10-01,14.61
1974-11-01,15.76
1974-12-01,16.32
1975-01-01,15.07
1975-02-01,13.33
1975-03-01,12.24
1975-04-01,12.42
1975-05-01,13.11
1975-06-01,12.99
1975-07-01,12.75
1975-08-01,12.77
1975-09-01,12.76
1975-10-01,13.51
1975-11-01,13.66
1975-12-01,13.57
1976-01-01,12.64
1976-02-01,12.13
1976-03-01,12.55
1976-04-01,12.47
1976-05-01,12.37
1976-06-01,13.45
1976-07-01,13.56
1976-08-01,13.67
1976-09-01,14.18
1976-10-01,15.67
1976-11-01,15.46
1976-12-01,15.17
1977-01-01,14.07
1977-02-01,13.34
1977-03-01,12.44
1977-04-01,12.18
1977-05-01,11.86
1977-06-01,12.52
1977-07-01,12.87
1977-08-01,12.29
1977-09-01,11.03
1977-10-01,10.31
1977-11-01,10.72
1977-12-01,10.7
1978-01-01,10.61
1978-02-01,10.39
1978-03-01,11.2
1978-04-01,11.91
1978-05-01,12.28
1978-06-01,12.48
1978-07-01,12.37
1978-08-01,12.23
1978-09-01,12.38
1978-10-01,12.72
1978-11-01,13.09
1978-12-01,13.12
1979-01-01,13.55
1979-02-01,13.99
1979-03-01,12.08
1979-04-01,11.39
1979-05-01,11.75
1979-06-01,12.56
1979-07-01,12.34
1979-08-01,12.26
1979-09-01,12.56
1979-10-01,13.09
1979-11-01,14.76
1979-12-01,15.02
1980-01-01,14.41
1980-02-01,14.74
1980-03-01,14.93
1980-04-01,14.42
1980-05-01,14.11
1980-06-01,13.78
1980-07-01,13.08
1980-08-01,13.7
1980-09-01,13.47
1980-10-01,13.2
1980-11-01,13.34
1980-12-01,13.78
1981-01-01,13.97
1981-02-01,13.84
1981-03-01,13.66
1981-04-01,13.66
1981-05-01,14.4
1981-06-01,14.69
1981-07-01,15.28
1981-08-01,15.23
1981-09-01,15.81
1981-10-01,16.34
1981-11-01,15.72
1981-12-01,16
1982-01-01,15.94
1982-02-01,15.09
1982-03-01,14.01
1982-04-01,14.2
1982-05-01,13.89
1982-06-01,13.75
1982-07-01,13.35
1982-08-01,12.21
1982-09-01,11.51
1982-10-01,10.69
1982-11-01,10.8
1982-12-01,11.58
1983-01-01,11.87
1983-02-01,11.79
1983-03-01,11.38
1983-04-01,11.06
1983-05-01,11.16
1983-06-01,10.99
1983-07-01,11.53
1983-08-01,11.72
1983-09-01,11.25
1983-10-01,11.02
1983-11-01,10.68
1983-12-01,10.77
1984-01-01,10.77
1984-02-01,10.87
1984-03-01,10.66
1984-04-01,10.85
1984-05-01,11.38
1984-06-01,11.59
1984-07-01,12.07
1984-08-01,11.41
1984-09-01,11.23
1984-10-01,11.1
1984-11-01,10.73
1984-12-01,10.87
1985-01-01,11.36
1985-02-01,11.49
1985-03-01,11.33
1985-04-01,11.07
1985-05-01,11.23
1985-06-01,11.03
1985-07-01,10.77
1985-08-01,10.69
1985-09-01,10.68
1985-10-01,10.52
1985-11-01,10.69
1985-12-01,10.78
1986-01-01,11.13
1986-02-01,10.73
1986-03-01,9.69
1986-04-01,8.94
1986-05-01,9.15
1986-06-01,9.45
1986-07-01,9.61
1986-08-01,9.66
1986-09-01,10.28
1986-10-01,10.92
1986-11-01,11.08
1986-12-01,10.98
1987-01-01,10.27
1987-02-01,9.97
1987-03-01,9.11
1987-04-01,9.14
1987-05-01,8.8
1987-06-01,8.93
1987-07-01,9.29
1987-08-01,10.13
1987-09-01,10.21
1987-10-01,10.14
1987-11-01,9.23
1987-12-01,9.63
1988-01-01,9.71
1988-02-01,9.52
1988-03-01,9.22
1988-04-01,9.2
1988-05-01,9.41
1988-06-01,9.51
1988-07-01,9.84
1988-08-01,9.91
1988-09-01,10.1
1988-10-01,9.69
1988-11-01,9.86
1988-12-01,10.14
1989-01-01,9.96
1989-02-01,9.72
1989-03-01,9.88
1989-04-01,10.18
1989-05-01,10.17
1989-06-01,10.55
1989-07-01,10.15
1989-08-01,9.91
1989-09-01,10.21
1989-10-01,10.45
1989-11-01,10.55
1989-12-01,10.56
1990-01-01,10.89
1990-02-01,11.33
1990-03-01,12.42
1990-04-01,12.74
1990-05-01,12.41
1990-06-01,11.8
1990-07-01,11.84
1990-08-01,12.15
1990-09-01,12.1
1990-10-01,11.74
1990-11-01,11.37
1990-12-01,10.84
1991-01-01,10.59
1991-02-01,10.13
1991-03-01,10.29
1991-04-01,10.19
1991-05-01,10.38
1991-06-01,10.58
1991-07-01,10.28
1991-08-01,10.03
1991-09-01,9.64
1991-10-01,9.72
1991-11-01,9.77
1991-12-01,9.66
1992-01-01,9.46
1992-02-01,9.3
1992-03-01,9.68
1992-04-01,9.43
1992-05-01,9.02
1992-06-01,9.12
1992-07-01,9.05
1992-08-01,9.35
1992-09-01,9.19
1992-10-01,8.65
1992-11-01,8.19
1992-12-01,8.32
1993-01-01,8.29
1993-02-01,7.95
1993-03-01,7.72
1993-04-01,7.89
1993-05-01,8.15
1993-06-01,7.96
1993-07-01,7.62
1993-08-01,7.07
1993-09-01,6.96
1993-10-01,6.87
1993-11-01,6.85
1993-12-01,6.43
1994-01-01,6.38
1994-02-01,6.76
1994-03-01,7.42
1994-04-01,7.84
1994-05-01,8.28
1994-06-01,8.71
1994-07-01,8.53
1994-08-01,8.65
1994-09-01,8.9
1994-10-01,8.78
1994-11-01,8.64
1994-12-01,8.58
1995-01-01,8.73
1995-02-01,8.66
1995-03-01,8.59
1995-04-01,8.44
1995-05-01,8.18
1995-06-01,8.11
1995-07-01,8.26
1995-08-01,8.12
1995-09-01,7.95
1995-10-01,8.1
1995-11-01,7.78
1995-12-01,7.49
1996-01-01,7.44
1996-02-01,7.76
1996-03-01,8.06
1996-04-01,8.06
1996-05-01,8.09
1996-06-01,8.05
1996-07-01,7.92
1996-08-01,7.82
1996-09-01,7.82
1996-10-01,7.54
1996-11-01,7.6
1996-12-01,7.57
1997-01-01,7.56
1997-02-01,7.2
1997-03-01,7.45
1997-04-01,7.64
1997-05-01,7.17
1997-06-01,7.14
1997-07-01,7.06
1997-08-01,7.09
1997-09-01,6.82
1997-10-01,6.51
1997-11-01,6.62
1997-12-01,6.37
1998-01-01,6.1
1998-02-01,6.05
1998-03-01,5.99
1998-04-01,5.82
1998-05-01,5.86
1998-06-01,5.77
1998-07-01,5.83
1998-08-01,5.57
1998-09-01,5.15
1998-10-01,5.01
1998-11-01,4.93
1998-12-01,4.52
1999-01-01,4.29
1999-02-01,4.43
1999-03-01,4.66
1999-04-01,4.59
1999-05-01,4.91
1999-06-01,5.17
1999-07-01,5.37
1999-08-01,5.43
1999-09-01,5.69
1999-10-01,5.88
1999-11-01,5.31
1999-12-01,5.39
2000-01-01,5.82
2000-02-01,5.63
2000-03-01,5.37
2000-04-01,5.32
2000-05-01,5.4
2000-06-01,5.21
2000-07-01,5.24
2000-08-01,5.33
2000-09-01,5.39
2000-10-01,5.22
2000-11-01,5.1
2000-12-01,4.91
2001-01-01,4.85
2001-02-01,4.82
2001-03-01,4.7
2001-04-01,4.95
2001-05-01,5.12
2001-06-01,5.2
2001-07-01,5.2
2001-08-01,4.99
2001-09-01,4.99
2001-10-01,4.83
2001-11-01,4.63
2001-12-01,4.89
2002-01-01,4.92
2002-02-01,4.93
2002-03-01,5.22
2002-04-01,5.23
2002-05-01,5.27
2002-06-01,5.1
2002-07-01,5.0
2002-08-01,4.75
2002-09-01,4.5
2002-10-01,4.62
2002-11-01,4.64
2002-12-01,4.56
2003-01-01,4.39
2003-02-01,4.21
2003-03-01,4.32
2003-04-01,4.47
2003-05-01,4.22
2003-06-01,4.11
2003-07-01,4.41
2003-08-01,4.6
2003-09-01,4.71
2003-10-01,4.91
2003-11-01,5.07
2003-12-01,4.9
2004-01-01,4.79
2004-02-01,4.81
2004-03-01,4.71
2004-04-01,4.96
2004-05-01,5.11
2004-06-01,5.2
2004-07-01,5.11
2004-08-01,5.01
2004-09-01,4.91
2004-10-01,4.77
2004-11-01,4.69
2004-12-01,4.53
2005-01-01,4.54
2005-02-01,4.59
2005-03-01,4.8
2005-04-01,4.62
2005-05-01,4.42
2005-06-01,4.28
2005-07-01,4.3
2005-08-01,4.32
2005-09-01,4.21
2005-10-01,4.35
2005-11-01,4.31
2005-12-01,4.22
2006-01-01,4.08
2006-02-01,4.15
2006-03-01,4.32
2006-04-01,4.52
2006-05-01,4.65
2006-06-01,4.66
2006-07-01,4.66
2006-08-01,4.65
2006-09-01,4.55
2006-10-01,4.62
2006-11-01,4.55
2006-12-01,4.62
2007-01-01,4.87
2007-02-01,4.9
2007-03-01,4.82
2007-04-01,5.04
2007-05-01,5.15
2007-06-01,5.43
2007-07-01,5.41
2007-08-01,5.15
2007-09-01,4.99
2007-10-01,4.96
2007-11-01,4.73
2007-12-01,4.69
2008-01-01,4.49
2008-02-01,4.62
2008-03-01,4.45
2008-04-01,4.64
2008-05-01,4.87
2008-06-01,5.21
2008-07-01,5.05
2008-08-01,4.73
2008-09-01,4.57
2008-10-01,4.58
2008-11-01,4.26
2008-12-01,3.62
2009-01-01,3.67
2009-02-01,3.69
2009-03-01,3.25
2009-04-01,3.41
2009-05-01,3.62
2009-06-01,3.72
2009-07-01,3.82
2009-08-01,3.71
2009-09-01,3.66
2009-10-01,3.57
2009-11-01,3.76
2009-12-01,3.89
2010-01-01,4.0
2010-02-01,4.06
2010-03-01,4.09
2010-04-01,4.1
2010-05-01,3.78
2010-06-01,3.6
2010-07-01,3.51
2010-08-01,3.23
2010-09-01,3.13
2010-10-01,3.07
2010-11-01,3.31
2010-12-01,3.61
2011-01-01,3.73
2011-02-01,3.88
2011-03-01,3.74
2011-04-01,3.76
2011-05-01,3.51
2011-06-01,3.41
2011-07-01,3.31
2011-08-01,2.78
2011-09-01,2.5
2011-10-01,2.53
2011-11-01,2.29
2011-12-01,2.18
2012-01-01,2.11
2012-02-01,2.22
2012-03-01,2.32
2012-04-01,2.21
2012-05-01,1.94
2012-06-01,1.77
2012-07-01,1.65
2012-08-01,1.67
2012-09-01,1.72
2012-10-01,1.77
2012-11-01,1.77
2012-12-01,1.85
2013-01-01,2.08
2013-02-01,2.18
2013-03-01,1.98
2013-04-01,1.78
2013-05-01,1.95
2013-06-01,2.31
2013-07-01,2.47
2013-08-01,2.71
2013-09-01,2.84
2013-10-01,2.68
2013-11-01,2.76
2013-12-01,2.95
2014-01-01,2.91
2014-02-01,2.81
2014-03-01,2.78
2014-04-01,2.74
2014-05-01,2.7
2014-06-01,2.78
2014-07-01,2.73
2014-08-01,2.53
2014-09-01,2.49
2014-10-01,2.25
2014-11-01,2.16
2014-12-01,1.93
2015-01-01,1.59
2015-02-01,1.74
2015-03-01,1.79
2015-04-01,1.76
2015-05-01,2.02
2015-06-01,2.17
2015-07-01,2.14
2015-08-01,1.98
2015-09-01,1.88
2015-10-01,1.85
2015-11-01,1.98
2015-12-01,1.92
2016-01-01,1.78
2016-02-01,1.5
2016-03-01,1.54
2016-04-01,1.57
2016-05-01,1.54
2016-06-01,1.31
2016-07-01,0.96
2016-08-01,0.74
2016-09-01,0.82
2016-10-01,1.08
2016-11-01,1.38
2016-12-01,1.43
2017-01-01,1.42
2017-02-01,1.31
2017-03-01,1.19
2017-04-01,1.08
