DATE,IRLTLT01JPM156N
1998-01-01,1.95
1998-02-01,2
1998-03-01,1.86
1998-04-01,1.87
1998-05-01,1.66
1998-06-01,1.54
1998-07-01,1.68
1998-08-01,1.5
1998-09-01,1.1
1998-10-01,0.88
1998-11-01,0.98
1998-12-01,1.49
1999-01-01,1.91
1999-02-01,2.12
1999-03-01,1.82
1999-04-01,1.56
1999-05-01,1.33
1999-06-01,1.63
1999-07-01,1.7
1999-08-01,1.88
1999-09-01,1.76
1999-10-01,1.69
1999-11-01,1.82
1999-12-01,1.77
2000-01-01,1.69
2000-02-01,1.8
2000-03-01,1.82
2000-04-01,1.74
2000-05-01,1.71
2000-06-01,1.66
2000-07-01,1.69
2000-08-01,1.75
2000-09-01,1.88
2000-10-01,1.82
2000-11-01,1.76
2000-12-01,1.62
2001-01-01,1.51
2001-02-01,1.42
2001-03-01,1.17
2001-04-01,1.32
2001-05-01,1.25
2001-06-01,1.15
2001-07-01,1.31
2001-08-01,1.34
2001-09-01,1.35
2001-10-01,1.36
2001-11-01,1.33
2001-12-01,1.33
2002-01-01,1.42
2002-02-01,1.5
2002-03-01,1.42
2002-04-01,1.39
2002-05-01,1.37
2002-06-01,1.33
2002-07-01,1.3
2002-08-01,1.26
2002-09-01,1.13
2002-10-01,1.1
2002-11-01,0.98
2002-12-01,0.98
2003-01-01,0.84
2003-02-01,0.83
2003-03-01,0.72
2003-04-01,0.66
2003-05-01,0.58
2003-06-01,0.53
2003-07-01,0.96
2003-08-01,1.41
2003-09-01,1.42
2003-10-01,1.44
2003-11-01,1.33
2003-12-01,1.33
2004-01-01,1.33
2004-02-01,1.21
2004-03-01,1.42
2004-04-01,1.52
2004-05-01,1.51
2004-06-01,1.81
2004-07-01,1.81
2004-08-01,1.59
2004-09-01,1.39
2004-10-01,1.48
2004-11-01,1.45
2004-12-01,1.4
2005-01-01,1.31
2005-02-01,1.42
2005-03-01,1.33
2005-04-01,1.26
2005-05-01,1.24
2005-06-01,1.14
2005-07-01,1.3
2005-08-01,1.37
2005-09-01,1.45
2005-10-01,1.51
2005-11-01,1.45
2005-12-01,1.49
2006-01-01,1.55
2006-02-01,1.6
2006-03-01,1.76
2006-04-01,1.96
2006-05-01,1.85
2006-06-01,1.9
2006-07-01,1.93
2006-08-01,1.67
2006-09-01,1.63
2006-10-01,1.72
2006-11-01,1.69
2006-12-01,1.65
2007-01-01,1.71
2007-02-01,1.64
2007-03-01,1.63
2007-04-01,1.65
2007-05-01,1.73
2007-06-01,1.9
2007-07-01,1.81
2007-08-01,1.58
2007-09-01,1.7
2007-10-01,1.62
2007-11-01,1.5
2007-12-01,1.53
2008-01-01,1.43
2008-02-01,1.43
2008-03-01,1.25
2008-04-01,1.6
2008-05-01,1.78
2008-06-01,1.6
2008-07-01,1.54
2008-08-01,1.43
2008-09-01,1.48
2008-10-01,1.49
2008-11-01,1.38
2008-12-01,1.21
2009-01-01,1.27
2009-02-01,1.28
2009-03-01,1.32
2009-04-01,1.4
2009-05-01,1.48
2009-06-01,1.36
2009-07-01,1.39
2009-08-01,1.31
2009-09-01,1.26
2009-10-01,1.4
2009-11-01,1.25
2009-12-01,1.27
2010-01-01,1.31
2010-02-01,1.3
2010-03-01,1.36
2010-04-01,1.29
2010-05-01,1.26
2010-06-01,1.08
2010-07-01,1.08
2010-08-01,1.02
2010-09-01,0.9
2010-10-01,0.9
2010-11-01,1.16
2010-12-01,1.13
2011-01-01,1.21
2011-02-01,1.24
2011-03-01,1.21
2011-04-01,1.22
2011-05-01,1.12
2011-06-01,1.08
2011-07-01,1.08
2011-08-01,1.02
2011-09-01,0.98
2011-10-01,1.04
2011-11-01,1.06
2011-12-01,0.97
2012-01-01,0.96
2012-02-01,0.96
2012-03-01,0.97
2012-04-01,0.91
2012-05-01,0.85
2012-06-01,0.79
2012-07-01,0.78
2012-08-01,0.8
2012-09-01,0.76
2012-10-01,0.76
2012-11-01,0.71
2012-12-01,0.78
2013-01-01,0.78
2013-02-01,0.67
2013-03-01,0.49
2013-04-01,0.59
2013-05-01,0.88
2013-06-01,0.82
2013-07-01,0.79
2013-08-01,0.71
2013-09-01,0.67
2013-10-01,0.59
2013-11-01,0.61
2013-12-01,0.69
2014-01-01,0.61
2014-02-01,0.59
2014-03-01,0.61
2014-04-01,0.61
2014-05-01,0.57
2014-06-01,0.54
2014-07-01,0.53
2014-08-01,0.49
2014-09-01,0.5
2014-10-01,0.47
2014-11-01,0.42
2014-12-01,0.32
2015-01-01,0.28
2015-02-01,0.34
2015-03-01,0.4
2015-04-01,0.33
2015-05-01,0.39
2015-06-01,0.45
2015-07-01,0.41
2015-08-01,0.38
2015-09-01,0.35
2015-10-01,0.3
2015-11-01,0.3
2015-12-01,0.27
2016-01-01,0.1
2016-02-01,-0.07
2016-03-01,-0.05
2016-04-01,-0.09
2016-05-01,-0.12
2016-06-01,-0.24
2016-07-01,-0.18
2016-08-01,-0.07
2016-09-01,-0.09
2016-10-01,-0.06
2016-11-01,0.02
2016-12-01,0.04
2017-01-01,0.08
2017-02-01,0.05
2017-03-01,0.07
