DATES,FOLIO.NOM,RESERVE.NOM,DLAAN.NOM,STATSVKL.3M.EFF,STATSVKL.6M.EFF,STATSVKL.9M.EFF,STATSVKL.12M.EFF,STATSOBL.3Y.EFF,STATSOBL.5Y.EFF,STATSOBL.10Y.EFF,NOWA.RATE,NOWA.VOLUME,NOWA.QUALIFIER
2-Jan-86,ND,ND,8.10,ND,ND,ND,ND,ND,NA,NA,ND,ND,ND
3-Jan-86,ND,ND,9.90,ND,ND,ND,ND,ND,13.63,13.49,ND,ND,ND
6-Jan-86,ND,ND,10.70,ND,ND,ND,ND,ND,NA,NA,ND,ND,ND
7-Jan-86,ND,ND,10.80,ND,ND,ND,ND,ND,NA,NA,ND,ND,ND
8-Jan-86,ND,ND,11.00,ND,ND,ND,ND,ND,NA,NA,ND,ND,ND
9-Jan-86,ND,ND,11.30,ND,ND,ND,ND,ND,NA,NA,ND,ND,ND
10-Jan-86,ND,ND,11.70,ND,ND,ND,ND,ND,13.64,13.48,ND,ND,ND
13-Jan-86,ND,ND,11.70,ND,ND,ND,ND,ND,NA,NA,ND,ND,ND
14-Jan-86,ND,ND,11.80,ND,ND,ND,ND,ND,NA,NA,ND,ND,ND
15-Jan-86,ND,ND,11.80,ND,ND,ND,ND,ND,NA,NA,ND,ND,ND
16-Jan-86,ND,ND,11.80,ND,ND,ND,ND,ND,NA,NA,ND,ND,ND
17-Jan-86,ND,ND,12.60,ND,ND,ND,ND,ND,13.58,13.49,ND,ND,ND
20-Jan-86,ND,ND,12.70,ND,ND,ND,ND,ND,NA,NA,ND,ND,ND
21-Jan-86,ND,ND,12.70,ND,ND,ND,ND,ND,NA,NA,ND,ND,ND
22-Jan-86,ND,ND,12.80,ND,ND,ND,ND,ND,NA,NA,ND,ND,ND
23-Jan-86,ND,ND,13.00,ND,ND,ND,ND,ND,NA,NA,ND,ND,ND
24-Jan-86,ND,ND,13.20,ND,ND,ND,ND,ND,13.63,13.50,ND,ND,ND
27-Jan-86,ND,ND,13.30,ND,ND,ND,ND,ND,NA,NA,ND,ND,ND
28-Jan-86,ND,ND,13.40,ND,ND,ND,ND,ND,NA,NA,ND,ND,ND
29-Jan-86,ND,ND,13.40,ND,ND,ND,ND,ND,NA,NA,ND,ND,ND
30-Jan-86,ND,ND,13.40,ND,ND,ND,ND,ND,NA,NA,ND,ND,ND
31-Jan-86,ND,ND,13.40,ND,ND,ND,ND,ND,13.60,13.51,ND,ND,ND
3-Feb-86,ND,ND,13.40,ND,ND,ND,ND,ND,NA,NA,ND,ND,ND
4-Feb-86,ND,ND,13.40,ND,ND,ND,ND,ND,NA,NA,ND,ND,ND
5-Feb-86,ND,ND,13.40,ND,ND,ND,ND,ND,NA,NA,ND,ND,ND
6-Feb-86,ND,ND,13.40,ND,ND,ND,ND,ND,NA,NA,ND,ND,ND
7-Feb-86,ND,ND,13.40,ND,ND,ND,ND,ND,13.59,13.49,ND,ND,ND
10-Feb-86,ND,ND,13.50,ND,ND,ND,ND,ND,NA,NA,ND,ND,ND
11-Feb-86,ND,ND,13.50,ND,ND,ND,ND,ND,NA,NA,ND,ND,ND
12-Feb-86,ND,ND,13.50,ND,ND,ND,ND,ND,NA,NA,ND,ND,ND
13-Feb-86,ND,ND,13.50,ND,ND,ND,ND,ND,NA,NA,ND,ND,ND
14-Feb-86,ND,ND,13.50,ND,ND,ND,ND,ND,13.60,13.48,ND,ND,ND
17-Feb-86,ND,ND,13.50,ND,ND,ND,ND,ND,NA,NA,ND,ND,ND
18-Feb-86,ND,ND,13.50,ND,ND,ND,ND,ND,NA,NA,ND,ND,ND
19-Feb-86,ND,ND,13.50,ND,ND,ND,ND,ND,NA,NA,ND,ND,ND
20-Feb-86,ND,ND,13.50,ND,ND,ND,ND,ND,NA,NA,ND,ND,ND
21-Feb-86,ND,ND,13.60,ND,ND,ND,ND,ND,13.62,13.47,ND,ND,ND
24-Feb-86,ND,ND,13.70,ND,ND,ND,ND,ND,NA,NA,ND,ND,ND
