F2  CAPITAL MARKET YIELDS - GOVERNMENT BONDS,,,,,,,,
Per cent per annum,,,,,,,,
,,,,,,,,
,Australian Government,,,,,NSW Treasury Corporation,,
,2 yrs,3 yrs,5 yrs,10 yrs,Indexed,3 yrs,5 yrs,10 yrs
,,,,,,,,
,,,,,,,,
,,,,,,,,
Last updated:,21-May-13,21-May-13,21-May-13,21-May-13,21-May-13,21-May-13,21-May-13,21-May-13
Source,RBA,RBA,RBA,RBA,RBA,RBA,RBA,RBA
Mnemonic,FCMYGBAG2D,FCMYGBAG3D,FCMYGBAG5D,FCMYGBAG10D,FCMYGBAGID,FCMYGBNT3D,FCMYGBNT5D,FCMYGBNT10D
03-Jan-1995,10.23,10.22,10.17,10.06,5.47,,,
04-Jan-1995,10.31,10.32,10.28,10.18,5.51,,,
05-Jan-1995,10.35,10.37,10.34,10.32,5.54,,,
06-Jan-1995,10.34,10.37,10.36,10.36,5.56,,,
09-Jan-1995,10.30,10.36,10.37,10.43,5.57,,,
10-Jan-1995,10.28,10.38,10.40,10.42,5.58,,,
11-Jan-1995,10.28,10.38,10.39,10.37,5.57,,,
12-Jan-1995,10.20,10.30,10.31,10.30,5.55,,,
13-Jan-1995,10.26,10.36,10.38,10.41,5.57,,,
16-Jan-1995,10.05,10.16,10.21,10.29,5.53,,,
17-Jan-1995,10.02,10.13,10.18,10.28,5.53,,,
18-Jan-1995,10.10,10.19,10.23,10.28,5.53,,,
19-Jan-1995,10.23,10.31,10.33,10.33,5.53,,,
20-Jan-1995,10.29,10.37,10.39,10.41,5.57,,,
23-Jan-1995,10.35,10.44,10.48,10.56,5.62,,,
24-Jan-1995,10.32,10.41,10.45,10.50,5.61,,,
25-Jan-1995,10.10,10.23,10.29,10.38,5.60,,,
27-Jan-1995,9.98,10.06,10.14,10.23,5.58,,,
30-Jan-1995,9.91,10.00,10.08,10.18,5.56,,,
31-Jan-1995,10.14,10.24,10.32,10.40,5.61,,,
01-Feb-1995,9.88,9.98,10.09,10.20,5.57,,,
02-Feb-1995,9.88,9.98,10.11,10.22,5.58,,,
03-Feb-1995,9.83,9.94,10.07,10.16,5.57,,,
06-Feb-1995,9.57,9.69,9.88,10.02,5.55,,,
07-Feb-1995,9.67,9.80,10.03,10.17,5.58,,,
08-Feb-1995,9.63,9.78,10.02,10.13,5.59,,,
09-Feb-1995,9.69,9.82,10.04,10.14,5.58,,,
10-Feb-1995,9.69,9.81,10.03,10.15,5.58,,,
13-Feb-1995,9.72,9.85,10.08,10.23,5.59,,,
14-Feb-1995,9.73,9.86,10.11,10.27,5.61,,,
15-Feb-1995,9.57,9.70,9.98,10.15,5.58,,,
16-Feb-1995,9.51,9.65,9.93,10.12,5.57,,,
17-Feb-1995,9.53,9.66,9.95,10.19,5.59,,,
20-Feb-1995,9.60,9.73,10.01,10.21,5.60,,,
21-Feb-1995,9.52,9.65,9.93,10.14,5.59,,,
22-Feb-1995,9.47,9.62,9.94,10.20,5.59,,,
23-Feb-1995,9.28,9.45,9.82,10.17,5.61,,,
24-Feb-1995,9.30,9.48,9.85,10.15,5.58,,,
27-Feb-1995,9.04,9.23,9.66,10.06,5.55,,,
28-Feb-1995,9.10,9.28,9.68,9.85,5.50,,,
01-Mar-1995,9.09,9.27,9.64,9.90,5.56,,,
02-Mar-1995,9.25,9.41,9.76,9.95,5.55,,,
03-Mar-1995,9.44,9.59,9.92,10.08,5.56,,,
06-Mar-1995,9.60,9.74,10.12,10.36,5.58,,,
07-Mar-1995,9.48,9.62,10.01,10.31,5.56,,,
08-Mar-1995,9.55,9.70,10.09,10.36,5.57,,,
09-Mar-1995,9.66,9.79,10.09,10.23,5.56,,,
10-Mar-1995,9.68,9.80,10.11,10.25,5.55,,,
13-Mar-1995,9.50,9.63,9.95,10.12,5.55,,,
14-Mar-1995,9.39,9.53,9.87,10.08,5.53,,,
15-Mar-1995,9.36,9.57,9.79,9.94,5.49,,,
16-Mar-1995,9.32,9.54,9.78,10.00,5.48,,,
17-Mar-1995,9.42,9.64,9.00,10.17,5.49,,,
20-Mar-1995,9.46,9.68,9.94,10.22,5.50,,,
21-Mar-1995,9.34,9.58,8.89,10.18,5.50,,,
22-Mar-1995,9.38,9.64,9.97,10.30,5.52,,,
23-Mar-1995,9.38,9.63,9.94,10.23,5.52,,,
24-Mar-1995,9.34,9.59,9.91,10.20,5.51,,,
27-Mar-1995,9.11,9.37,9.74,10.07,5.49,,,
28-Mar-1995,9.17,9.42,9.76,10.07,5.49,,,
29-Mar-1995,9.30,9.55,9.88,10.19,5.49,,,
30-Mar-1995,9.30,9.55,9.87,10.13,5.49,,,
31-Mar-1995,8.99,9.25,9.57,9.83,5.45,,,
03-Apr-1995,8.98,9.24,9.61,9.90,5.45,,,
04-Apr-1995,8.94,9.20,9.53,9.80,5.44,,,
05-Apr-1995,8.98,9.24,9.56,9.84,5.44,,,
06-Apr-1995,8.94,9.20,9.51,9.79,5.35,,,
07-Apr-1995,8.97,9.24,9.56,9.83,5.33,,,
10-Apr-1995,9.01,9.26,9.59,9.90,5.34,,,
11-Apr-1995,8.92,9.16,9.42,9.80,5.33,,,
12-Apr-1995,8.87,9.11,9.44,9.78,5.29,,,
13-Apr-1995,8.84,9.09,9.41,9.77,5.26,,,
18-Apr-1995,8.66,8.91,9.28,9.69,5.24,,,
19-Apr-1995,8.74,8.99,9.37,9.79,5.17,,,
20-Apr-1995,8.77,9.01,9.37,9.76,5.12,,,
21-Apr-1995,8.91,9.13,9.47,9.85,5.12,,,
24-Apr-1995,9.03,9.24,9.56,9.86,5.12,,,
26-Apr-1995,9.00,9.19,9.49,9.84,5.12,,,
27-Apr-1995,8.84,9.03,9.34,9.69,5.08,,,
28-Apr-1995,8.82,9.01,9.32,9.69,5.08,,,
01-May-1995,8.82,9.01,9.33,9.69,5.07,,,
02-May-1995,8.81,9.00,9.32,9.70,5.08,,,
03-May-1995,8.79,8.98,9.29,9.68,5.08,,,
04-May-1995,8.57,8.75,9.06,9.47,4.90,,,
05-May-1995,8.56,8.73,9.02,9.38,4.81,,,
08-May-1995,8.27,8.46,8.74,9.10,4.75,,,
09-May-1995,8.24,8.42,8.70,9.05,4.77,,,
10-May-1995,8.22,8.39,8.67,9.02,4.70,,,
11-May-1995,8.24,8.43,8.69,9.05,4.71,,,
12-May-1995,8.25,8.43,8.71,9.10,4.71,,,
15-May-1995,8.07,8.26,8.57,9.01,4.70,,,
16-May-1995,8.10,8.28,8.59,9.01,4.72,,,
17-May-1995,8.00,8.19,8.48,8.86,4.73,,,
18-May-1995,8.11,8.31,8.61,8.99,4.74,,,
19-May-1995,8.19,8.39,8.69,9.09,4.77,,,
22-May-1995,8.21,8.39,8.70,9.10,4.78,,,
23-May-1995,8.15,8.33,8.64,9.06,4.79,,,
24-May-1995,7.99,8.17,8.49,8.94,4.79,,,
25-May-1995,7.79,7.97,8.28,8.74,4.78,,,
26-May-1995,7.84,8.02,8.32,8.81,4.79,,,
29-May-1995,7.71,7.89,8.24,8.82,4.79,,,
30-May-1995,7.69,7.86,8.23,8.83,4.79,,,
31-May-1995,7.76,7.92,8.31,8.94,4.81,,,
01-Jun-1995,7.85,8.02,8.41,9.04,4.83,,,
02-Jun-1995,7.78,7.96,8.36,9.00,4.81,,,
05-Jun-1995,7.47,7.65,8.02,8.61,4.76,,,
06-Jun-1995,7.53,7.71,8.07,8.63,4.73,,,
07-Jun-1995,7.61,7.82,8.18,8.71,4.73,,,
08-Jun-1995,7.81,8.04,8.38,8.89,4.76,,,
09-Jun-1995,7.78,8.01,8.38,8.94,4.76,,,
13-Jun-1995,7.72,7.96,8.36,8.94,4.77,,,
14-Jun-1995,7.62,7.85,8.25,8.83,4.75,,,
15-Jun-1995,7.66,7.89,8.30,8.88,4.75,,,
16-Jun-1995,7.74,7.99,8.38,8.94,4.76,,,
19-Jun-1995,7.70,8.04,8.35,8.95,4.75,,,
20-Jun-1995,7.70,8.04,8.34,8.91,4.74,,,
21-Jun-1995,7.55,7.88,8.19,8.78,4.73,,,
22-Jun-1995,7.59,7.92,8.21,8.76,4.73,,,
23-Jun-1995,7.47,7.77,8.07,8.67,4.71,,,
26-Jun-1995,7.56,7.86,8.16,8.78,4.71,,,
27-Jun-1995,7.59,7.87,8.19,8.80,4.72,,,
28-Jun-1995,7.60,7.90,8.23,8.86,4.71,,,
29-Jun-1995,7.58,7.87,8.21,8.85,4.70,,,
30-Jun-1995,7.91,8.27,8.61,9.21,4.79,,,
03-Jul-1995,7.81,8.16,8.53,9.18,4.79,,,
04-Jul-1995,7.72,8.07,8.45,9.13,4.79,,,
05-Jul-1995,7.71,8.06,8.43,9.07,4.75,,,
06-Jul-1995,7.70,8.04,8.41,9.05,4.71,,,
07-Jul-1995,7.31,7.65,8.05,8.74,4.63,,,
10-Jul-1995,7.32,7.65,8.06,8.75,4.65,,,
11-Jul-1995,7.40,7.73,8.13,8.80,4.65,,,
12-Jul-1995,7.42,7.75,8.15,8.81,4.69,,,
13-Jul-1995,7.42,7.77,8.16,8.80,4.71,,,
14-Jul-1995,7.43,7.76,8.16,8.79,4.70,,,
17-Jul-1995,7.59,7.95,8.35,8.97,4.73,,,
18-Jul-1995,7.69,8.05,8.44,9.07,4.76,,,
19-Jul-1995,7.74,8.11,8.53,9.17,4.80,,,
20-Jul-1995,7.82,8.22,8.64,9.31,4.84,,,
21-Jul-1995,7.71,8.09,8.51,9.18,4.81,,,
24-Jul-1995,7.78,8.18,8.61,9.28,4.83,,,
25-Jul-1995,7.72,8.10,8.53,9.19,4.79,,,
26-Jul-1995,7.83,8.23,8.65,9.30,4.82,,,
27-Jul-1995,8.10,8.47,8.86,9.40,4.85,,,
28-Jul-1995,8.02,8.38,8.76,9.31,4.82,,,
31-Jul-1995,8.17,8.52,8.89,9.42,4.83,,,
01-Aug-1995,8.02,8.36,8.73,9.29,4.82,,,
02-Aug-1995,7.96,8.28,8.65,9.22,4.82,,,
03-Aug-1995,7.97,8.29,8.67,9.23,4.81,,,
04-Aug-1995,8.06,8.38,8.76,9.35,4.84,,,
07-Aug-1995,7.95,8.28,8.65,9.22,4.82,,,
08-Aug-1995,7.86,8.16,8.54,9.14,4.80,,,
09-Aug-1995,7.90,8.21,8.60,9.19,4.82,,,
10-Aug-1995,7.83,8.12,8.50,9.05,4.80,,,
11-Aug-1995,7.79,8.07,8.44,8.97,4.79,,,
14-Aug-1995,7.91,8.18,8.53,9.02,4.80,,,
15-Aug-1995,7.95,8.14,8.56,9.06,4.80,,,
16-Aug-1995,7.96,8.15,8.56,9.05,4.80,,,
17-Aug-1995,7.96,8.15,8.55,9.07,4.80,,,
18-Aug-1995,7.92,8.11,8.51,9.06,4.79,,,
21-Aug-1995,7.93,8.10,8.50,9.03,4.79,,,
22-Aug-1995,7.93,8.13,8.53,9.08,4.79,,,
23-Aug-1995,7.98,8.20,8.60,9.14,4.79,,,
24-Aug-1995,8.09,8.33,8.73,9.25,4.83,,,
25-Aug-1995,8.01,8.24,8.64,9.17,4.81,,,
28-Aug-1995,7.99,8.23,8.66,9.17,4.81,,,
29-Aug-1995,7.93,8.16,8.60,9.12,4.81,,,
30-Aug-1995,7.75,7.97,8.43,9.00,4.77,,,
31-Aug-1995,7.76,7.98,8.44,8.98,4.76,,,
01-Sep-1995,7.68,7.87,8.34,8.89,4.75,,,
04-Sep-1995,7.62,7.80,8.28,8.85,4.74,,,
05-Sep-1995,7.61,7.78,8.26,8.84,4.74,,,
06-Sep-1995,7.56,7.71,8.18,8.73,4.71,,,
07-Sep-1995,7.66,7.82,8.27,8.81,4.74,,,
08-Sep-1995,7.62,7.78,8.21,8.73,4.73,,,
11-Sep-1995,7.66,7.81,8.24,8.76,4.73,,,
12-Sep-1995,7.67,7.81,8.24,8.77,4.72,,,
13-Sep-1995,7.50,7.65,8.07,8.58,4.69,,,
14-Sep-1995,7.53,7.68,8.09,8.60,4.68,,,
15-Sep-1995,7.47,7.61,8.01,8.53,4.66,,,
18-Sep-1995,7.51,7.67,8.05,8.56,4.67,,,
19-Sep-1995,7.55,7.72,8.10,8.63,4.69,,,
20-Sep-1995,7.57,7.74,8.12,8.62,4.68,,,
21-Sep-1995,7.55,7.72,8.10,8.60,4.67,,,
22-Sep-1995,7.66,7.83,8.21,8.68,4.68,,,
25-Sep-1995,7.69,7.87,8.25,8.72,4.69,,,
26-Sep-1995,7.61,7.80,8.17,8.68,4.69,,,
27-Sep-1995,7.58,7.77,8.14,8.64,4.67,,,
28-Sep-1995,7.57,7.75,8.12,8.62,4.66,,,
29-Sep-1995,7.55,7.73,8.10,8.57,4.64,,,
02-Oct-1995,7.46,7.64,8.02,8.50,4.62,,,
03-Oct-1995,7.50,7.67,8.05,8.56,4.63,,,
04-Oct-1995,7.48,7.65,8.03,8.55,4.61,,,
05-Oct-1995,7.46,7.62,8.00,8.51,4.60,,,
06-Oct-1995,7.47,7.63,8.00,8.50,4.58,,,
09-Oct-1995,7.45,7.61,7.98,8.48,4.58,,,
10-Oct-1995,7.50,7.65,8.02,8.53,4.58,,,
11-Oct-1995,7.57,7.71,8.09,8.58,4.59,,,
12-Oct-1995,7.54,7.68,8.05,8.55,4.59,,,
13-Oct-1995,7.48,7.61,7.98,8.43,4.58,,,
16-Oct-1995,7.39,7.52,7.87,8.32,4.54,,,
