,Cash rate,Cash rate,Bank bill yields,Bank bill yields,Bank bill yields,Secondary market government bond yields,Secondary market government bond yields,Secondary market government bond yields,Secondary market government bond yields,Inflation indexed bond,Inflation indexed bond,Inflation indexed bond,Inflation indexed bond
,Official Cash Rate (OCR),Overnight interbank cash rate,30 days,60 days,90 days,1 year,2 year,5 year,10 year,15 February 2016,20 September 2025,20 September 2030,20 September 2035
Notes,,,,,,Yes,,,,,,,
Unit,%pa,%pa,%pa,%pa,%pa,%pa,%pa,%pa,%pa,%pa,%pa,%pa,%pa
Series Id,INM.DP1.N,INM.DN.NZK,INM.DB01.N,INM.DB02.N,INM.DB03.N,INM.DG101.N,INM.DG102.N,INM.DG105.N,INM.DG110.N,INM.DG29.NS1602,INM.DG29.NS2509,INM.DG29.NS3009,INM.DG29.NS3509
03 Jan 1985,,,,,,,,,,,,,
04 Jan 1985,,13.40,14.20,14.60,15.30,,,,,,,,
07 Jan 1985,,,,,,,,,,,,,
08 Jan 1985,,13.50,14.30,14.70,15.30,,,,,,,,
09 Jan 1985,,,,,,,,,,,,,
10 Jan 1985,,14.30,14.30,14.80,15.60,,,,,,,,
11 Jan 1985,,14.80,14.60,15.00,15.90,,,,,,,,
14 Jan 1985,,14.90,14.90,15.50,16.00,,,,,,,,
15 Jan 1985,,14.90,15.00,15.80,16.50,,,,,,,,
16 Jan 1985,,14.30,15.30,15.90,16.80,,,,,,,,
17 Jan 1985,,14.60,15.80,16.40,17.50,,,,,,,,
18 Jan 1985,,14.60,16.00,16.50,17.60,,,,,,,,
21 Jan 1985,,,,,,,,,,,,,
22 Jan 1985,,14.80,16.20,17.20,17.80,,,,,,,,
23 Jan 1985,,15.70,16.50,17.50,18.20,,,,,,,,
24 Jan 1985,,15.60,16.80,17.80,18.30,,,,,,,,
25 Jan 1985,,15.80,16.50,17.90,18.40,,,,,,,,
28 Jan 1985,,15.40,16.30,17.80,18.60,,,,,,,,
29 Jan 1985,,15.40,16.80,17.80,18.70,,,,,,,,
30 Jan 1985,,15.50,16.80,17.90,18.80,,,,,,,,
31 Jan 1985,,15.70,17.30,18.40,19.00,,,,,,,,
01 Feb 1985,,16.60,17.30,18.80,19.20,,,,,,,,
04 Feb 1985,,17.30,17.50,19.00,19.40,,,,,,,,
05 Feb 1985,,17.10,17.50,19.00,19.60,,,,,,,,
07 Feb 1985,,15.60,17.10,18.80,19.50,,,,,,,,
08 Feb 1985,,14.50,17.10,18.80,19.50,,,,,,,,
11 Feb 1985,,15.20,16.70,18.30,19.50,,,,,,,,
12 Feb 1985,,15.20,16.70,18.30,19.40,,,,,,,,
13 Feb 1985,,16.30,16.70,18.30,19.40,,,,,,,,
14 Feb 1985,,16.80,16.90,18.80,19.60,,,,,,,,
15 Feb 1985,,17.50,18.00,19.50,19.80,,,,,,,,
18 Feb 1985,,17.50,18.00,19.50,19.80,,,,,,,,
19 Feb 1985,,18.10,18.00,19.60,19.90,,,,,,,,
20 Feb 1985,,18.00,19.00,19.70,20.00,,,,,,,,
21 Feb 1985,,16.40,19.00,19.70,20.10,,,,,,,,
22 Feb 1985,,17.00,19.00,19.70,20.20,,,,,,,,
25 Feb 1985,,23.00,19.30,19.80,20.50,,,,,,,,
26 Feb 1985,,26.30,20.50,21.00,21.30,,,,,,,,
27 Feb 1985,,33.00,22.50,22.50,22.20,,,,,,,,
28 Feb 1985,,54.30,30.00,30.00,26.30,,,,,,,,
01 Mar 1985,,37.90,30.00,30.00,25.00,,,,,,,,
04 Mar 1985,,54.30,32.00,30.00,26.80,,,,,,,,
05 Mar 1985,,154.30,37.00,32.00,30.10,,,,,,,,
06 Mar 1985,,196.40,37.00,32.00,31.10,,,,,,,,
07 Mar 1985,,85.00,39.00,33.00,32.20,,,,,,,,
08 Mar 1985,,265.00,70.00,45.00,35.50,,,,,,,,
11 Mar 1985,,232.00,60.00,45.00,34.50,,,,,,,,
12 Mar 1985,,118.60,30.00,26.00,25.00,,,,,,,,
13 Mar 1985,,34.30,26.00,24.00,22.90,,,,,,,,
14 Mar 1985,,17.50,22.50,22.00,21.90,,,,,,,,
15 Mar 1985,,18.90,24.00,23.00,22.70,,,,,,,,
18 Mar 1985,,18.10,25.00,24.00,23.50,,,,,,,,
19 Mar 1985,,18.40,25.00,24.00,23.70,,19.30,18.20,17.45,,,,
20 Mar 1985,,22.70,25.00,24.00,24.00,,19.30,18.20,17.45,,,,
21 Mar 1985,,24.00,28.00,27.00,25.30,,18.90,18.40,17.40,,,,
22 Mar 1985,,22.00,28.00,26.00,25.80,,19.00,18.40,17.40,,,,
25 Mar 1985,,20.90,28.00,25.60,26.00,,19.00,18.50,17.50,,,,
26 Mar 1985,,17.50,28.00,26.00,25.60,,19.00,18.50,17.50,,,,
27 Mar 1985,,17.10,23.00,25.00,25.10,,19.00,18.50,17.40,,,,
28 Mar 1985,,17.30,22.50,23.00,24.90,,19.00,18.50,17.40,,,,
29 Mar 1985,,21.50,22.50,22.50,24.30,,19.00,18.50,17.40,,,,
01 Apr 1985,,20.40,22.50,23.00,23.60,,19.00,18.50,17.40,,,,
02 Apr 1985,,19.50,21.50,23.00,23.60,,18.50,18.50,17.40,,,,
03 Apr 1985,,18.40,21.30,22.00,23.00,,19.00,18.50,17.40,,,,
04 Apr 1985,,17.00,20.50,21.00,22.30,,19.00,18.50,17.40,,,,
09 Apr 1985,,17.10,20.10,20.90,21.80,,19.00,18.50,17.40,,,,
10 Apr 1985,,17.00,19.90,20.70,21.50,,19.00,18.50,17.40,,,,
11 Apr 1985,,16.50,19.80,20.50,21.20,,19.00,18.50,17.40,,,,
12 Apr 1985,,16.50,19.80,20.50,21.30,,19.00,18.50,17.80,,,,
15 Apr 1985,,16.50,19.30,20.00,21.00,,19.00,18.50,17.80,,,,
16 Apr 1985,,16.60,19.30,20.10,20.80,,19.00,18.50,17.80,,,,
17 Apr 1985,,16.00,19.20,20.25,20.80,,19.00,18.50,17.80,,,,
18 Apr 1985,,16.70,19.50,20.30,21.30,,19.10,18.55,17.85,,,,
19 Apr 1985,,16.90,19.80,20.50,21.60,,19.00,18.60,17.95,,,,
22 Apr 1985,,17.20,20.00,20.75,21.90,,19.00,18.95,17.95,,,,
23 Apr 1985,,17.10,20.00,21.00,22.10,,19.00,18.95,17.95,,,,
24 Apr 1985,,17.30,20.50,21.50,22.70,,19.10,19.00,18.00,,,,
26 Apr 1985,,17.50,21.00,21.75,22.80,,19.10,19.03,18.05,,,,
29 Apr 1985,,17.95,21.30,22.00,23.00,,19.10,19.05,18.05,,,,
30 Apr 1985,,19.00,21.80,22.25,23.00,,19.15,19.05,18.05,,,,
01 May 1985,,25.30,22.50,22.75,23.70,,19.35,19.15,18.10,,,,
02 May 1985,,22.50,22.50,23.00,24.00,,19.40,19.20,18.15,,,,
03 May 1985,,22.50,22.50,23.00,24.00,,19.90,19.20,18.30,,,,
06 May 1985,,22.90,22.50,23.50,24.00,,20.00,19.60,18.40,,,,
07 May 1985,,21.30,23.20,23.50,24.00,,20.00,19.65,18.43,,,,
08 May 1985,,19.60,23.30,23.50,24.10,,19.70,19.70,18.50,,,,
09 May 1985,,19.50,23.00,23.50,24.00,,19.70,19.70,18.55,,,,
10 May 1985,,19.40,23.00,23.50,24.00,,19.80,19.80,18.60,,,,
13 May 1985,,19.30,23.10,23.50,23.90,,20.50,19.90,18.80,,,,
14 May 1985,,18.00,23.00,23.25,23.90,,20.50,20.00,18.80,,,,
15 May 1985,,18.00,23.00,23.50,23.90,,20.50,20.00,18.85,,,,
16 May 1985,,17.50,23.00,23.50,23.80,,20.50,20.00,19.00,,,,
17 May 1985,,18.90,23.00,23.50,23.90,,21.00,20.40,19.20,,,,
20 May 1985,,20.90,23.50,23.90,24.10,,21.50,20.45,19.15,,,,
21 May 1985,,22.40,24.00,24.25,24.20,,21.50,20.40,19.10,,,,
22 May 1985,,22.20,24.00,24.25,24.50,,21.60,20.40,19.10,,,,
23 May 1985,,22.50,24.30,24.50,24.60,,21.00,20.30,19.10,,,,
24 May 1985,,23.80,24.50,24.50,25.00,,21.00,20.20,19.00,,,,
27 May 1985,,21.00,24.50,24.50,25.00,,21.00,20.00,18.90,,,,
28 May 1985,,22.80,24.50,24.50,24.80,,21.10,19.90,18.60,,,,
29 May 1985,,23.20,24.50,24.50,24.70,,21.10,19.90,18.60,,,,
30 May 1985,,20.50,24.40,24.50,24.80,,21.10,19.95,18.60,,,,
31 May 1985,,23.70,24.40,24.50,24.80,,21.10,19.95,18.60,,,,
04 Jun 1985,,23.10,24.50,24.65,24.70,,21.10,19.85,18.45,,,,
05 Jun 1985,,25.20,24.50,24.65,24.70,,21.50,19.45,18.30,,,,
06 Jun 1985,,23.30,24.50,24.70,24.70,,21.60,18.80,17.90,,,,
07 Jun 1985,,22.50,24.50,24.50,24.60,,21.00,18.70,17.60,,,,
10 Jun 1985,,21.40,24.50,24.50,24.50,,20.50,18.45,17.40,,,,
11 Jun 1985,,21.40,24.50,24.50,24.40,,20.25,18.30,17.25,,,,
12 Jun 1985,,20.10,24.50,24.40,24.30,,20.40,18.20,17.10,,,,
13 Jun 1985,,19.40,24.20,24.30,24.00,,20.50,18.05,17.10,,,,
14 Jun 1985,,34.50,24.00,24.00,23.70,,20.40,18.10,17.10,,,,
17 Jun 1985,,20.80,23.60,23.60,23.50,,20.00,18.05,17.05,,,,
18 Jun 1985,,20.40,23.60,23.60,23.50,,19.80,18.05,17.05,,,,
19 Jun 1985,,19.50,23.30,23.40,23.20,,19.80,18.05,17.05,,,,
20 Jun 1985,,20.30,23.30,23.30,23.10,,19.45,18.05,17.20,,,,
