,Secondary market government bond closing yields,Secondary market government bond closing yields,Secondary market government bond closing yields,Secondary market government bond closing yields,Swap rates close,Swap rates close,Swap rates close,Swap rates close,Swap rates close,Swap rates close,Swap rates close,Swap rates close,Swap rates close
,1 year,2 year,5 year,10 year,1 year,2 year,3 year,4 year,5 year,7 year,10 year,15 year,Spread 2-10 year
Notes,Yes,,,,,,,,,,,,Yes
Unit,%pa,%pa,%pa,%pa,%pa,%pa,%pa,%pa,%pa,%pa,%pa,%pa,%pa
Series Id,INM.DG101.NZZC,INM.DG102.NZZC,INM.DG105.NZZC,INM.DG110.NZZC,INM.DS01.NZZC,INM.DS02.NZZC,INM.DS03.NZZC,INM.DS04.NZZC,INM.DS05.NZZC,INM.DS07.NZZC,INM.DS10.NZZC,INM.DS15.NZZC,INM.DS61.NZZC
03 Jan 2014,3.22,,4.24,4.74,3.45,3.87,4.24,4.52,4.75,5.05,5.28,5.51,141
06 Jan 2014,3.23,,4.23,4.73,3.42,3.85,4.22,4.49,4.72,5.03,5.27,5.49,142
07 Jan 2014,3.23,,4.22,4.71,3.40,3.83,4.20,4.47,4.70,5.01,5.25,5.47,142
08 Jan 2014,3.23,,4.20,4.69,3.37,3.80,4.17,4.44,4.67,4.98,5.21,5.44,141
09 Jan 2014,3.23,,4.24,4.74,3.39,3.82,4.18,4.46,4.68,4.99,5.23,5.46,141
10 Jan 2014,3.24,,4.21,4.71,3.39,3.81,4.16,4.43,4.65,4.96,5.20,5.43,139
13 Jan 2014,3.22,,4.16,4.66,3.37,3.80,4.14,4.40,4.62,4.93,5.17,5.40,137
14 Jan 2014,3.22,,4.16,4.66,3.38,3.81,4.14,4.40,4.61,4.91,5.15,5.38,135
15 Jan 2014,3.24,,4.19,4.69,3.38,3.82,4.15,4.41,4.63,4.94,5.18,5.41,136
16 Jan 2014,3.24,,4.18,4.65,3.38,3.79,4.12,4.38,4.59,4.89,5.13,5.36,134
17 Jan 2014,3.22,,4.13,4.60,3.36,3.77,4.08,4.32,4.53,4.83,5.08,5.31,131
20 Jan 2014,3.22,,4.13,4.60,3.36,3.77,4.08,4.32,4.53,4.83,5.08,5.31,131
21 Jan 2014,3.25,,4.17,4.61,3.41,3.83,4.13,4.36,4.56,4.86,5.11,5.33,128
22 Jan 2014,3.26,,4.17,4.62,3.44,3.86,4.15,4.38,4.58,4.88,5.13,5.35,127
23 Jan 2014,3.26,,4.17,4.63,3.47,3.85,4.15,4.38,4.58,4.88,5.12,5.35,127
24 Jan 2014,3.25,,4.12,4.58,3.45,3.82,4.10,4.32,4.51,4.80,5.04,5.27,123
27 Jan 2014,3.25,,4.12,4.58,3.45,3.82,4.10,4.32,4.51,4.80,5.04,5.27,123
28 Jan 2014,3.26,,4.11,4.57,3.44,3.83,4.11,4.33,4.52,4.81,5.05,5.27,122
29 Jan 2014,3.26,,4.13,4.60,3.45,3.84,4.12,4.34,4.54,4.84,5.08,5.31,125
30 Jan 2014,3.23,,4.05,4.53,3.41,3.78,4.07,4.29,4.48,4.78,5.02,5.25,124
31 Jan 2014,3.25,,4.09,4.57,3.44,3.86,4.16,4.37,4.56,4.86,5.10,5.32,124
03 Feb 2014,3.24,,4.06,4.54,3.42,3.85,4.14,4.36,4.54,4.83,5.05,5.28,120
04 Feb 2014,3.24,,4.02,4.50,3.42,3.81,4.11,4.32,4.51,4.78,5.00,5.23,119
05 Feb 2014,3.25,,4.05,4.52,3.43,3.84,4.14,4.35,4.54,4.82,5.04,5.27,120
07 Feb 2014,3.28,,4.09,4.56,3.44,3.87,4.17,4.39,4.58,4.86,5.09,5.32,123
10 Feb 2014,3.29,,4.08,4.55,3.43,3.85,4.16,4.38,4.57,4.85,5.08,5.31,124
11 Feb 2014,3.24,,4.09,4.60,3.44,3.85,4.16,4.39,4.58,4.87,5.11,5.33,126
12 Feb 2014,3.23,,4.10,4.60,3.45,3.87,4.18,4.40,4.59,4.89,5.13,5.36,126
13 Feb 2014,3.23,,4.10,4.60,3.45,3.87,4.18,4.41,4.60,4.90,5.16,5.39,129
14 Feb 2014,3.22,,4.09,4.59,3.46,3.86,4.17,4.39,4.58,4.88,5.13,5.36,127
17 Feb 2014,3.22,,4.08,4.60,3.43,3.85,4.16,4.38,4.58,4.87,5.12,5.36,128
18 Feb 2014,3.22,,4.07,4.59,3.42,3.81,4.12,4.34,4.54,4.83,5.07,5.31,126
19 Feb 2014,3.20,,4.05,4.57,3.43,3.81,4.10,4.32,4.51,4.80,5.06,5.29,125
20 Feb 2014,3.20,,4.05,4.57,3.44,3.81,4.10,4.31,4.50,4.80,5.05,5.28,124
21 Feb 2014,3.21,,4.06,4.58,3.46,3.83,4.12,4.34,4.53,4.82,5.07,5.31,124
24 Feb 2014,3.20,,4.05,4.57,3.44,3.82,4.11,4.32,4.50,4.80,5.05,5.29,123
25 Feb 2014,3.20,,4.05,4.57,3.44,3.82,4.11,4.33,4.51,4.80,5.05,5.29,123
26 Feb 2014,3.20,,4.04,4.56,3.44,3.81,4.10,4.31,4.49,4.78,5.03,5.27,122
27 Feb 2014,3.20,,4.03,4.55,3.44,3.80,4.08,4.29,4.46,4.75,4.99,5.23,119
28 Feb 2014,3.20,,4.03,4.55,3.46,3.82,4.10,4.31,4.49,4.76,5.00,5.24,118
03 Mar 2014,3.20,,4.00,4.52,3.44,3.80,4.08,4.28,4.46,4.73,4.97,5.20,117
04 Mar 2014,3.20,,4.02,4.53,3.45,3.82,4.08,4.27,4.43,4.70,4.93,5.17,112
05 Mar 2014,3.22,,4.03,4.54,3.47,3.86,4.13,4.33,4.49,4.76,5.00,5.24,114
06 Mar 2014,3.22,,4.08,4.58,3.49,3.90,4.17,4.37,4.54,4.81,5.05,5.28,115
07 Mar 2014,3.23,,4.12,4.62,3.52,3.95,4.22,4.42,4.59,4.87,5.11,5.34,116
10 Mar 2014,3.23,,4.13,4.63,3.51,3.95,4.21,4.41,4.58,4.86,5.11,5.34,116
11 Mar 2014,3.23,,4.12,4.62,3.51,3.93,4.19,4.39,4.56,4.84,5.08,5.31,115
12 Mar 2014,3.26,,4.11,4.61,3.52,3.93,4.19,4.39,4.55,4.83,5.07,5.30,114
13 Mar 2014,3.27,,4.10,4.56,3.56,4.01,4.28,4.45,4.60,4.85,5.07,5.30,106
14 Mar 2014,3.27,,4.06,4.52,3.54,4.03,4.28,4.44,4.57,4.81,5.02,5.25,100
17 Mar 2014,3.28,,4.08,4.51,3.58,4.06,4.30,4.45,4.58,4.81,5.02,5.25,97
18 Mar 2014,3.30,,4.15,4.58,3.57,4.05,4.32,4.48,4.61,4.85,5.07,5.30,102
19 Mar 2014,3.29,,4.15,4.58,3.56,4.03,4.30,4.46,4.59,4.82,5.03,5.26,100
20 Mar 2014,3.31,,4.19,4.62,3.56,4.02,4.30,4.48,4.61,4.85,5.07,5.30,105
21 Mar 2014,3.29,,4.19,4.62,3.56,4.02,4.30,4.48,4.62,4.86,5.08,5.31,106
24 Mar 2014,3.29,,4.19,4.62,3.56,4.02,4.30,4.49,4.63,4.87,5.08,5.31,106
25 Mar 2014,3.29,,4.18,4.61,3.57,4.01,4.29,4.48,4.62,4.85,5.07,5.30,106
26 Mar 2014,3.29,,4.18,4.60,3.58,4.01,4.30,4.48,4.63,4.86,5.06,5.29,105
27 Mar 2014,3.34,,4.18,4.59,3.58,4.01,4.30,4.48,4.61,4.83,5.02,5.25,101
28 Mar 2014,3.34,,4.18,4.57,3.59,4.03,4.30,4.48,4.61,4.82,5.01,5.23,98
