Date;Group;Series;Value
02/01/1998;Swedish Government Bonds;SE GVB 10Y;6.03
05/01/1998;Swedish Government Bonds;SE GVB 10Y;5.87
07/01/1998;Swedish Government Bonds;SE GVB 10Y;5.76
08/01/1998;Swedish Government Bonds;SE GVB 10Y;5.70
09/01/1998;Swedish Government Bonds;SE GVB 10Y;5.61
12/01/1998;Swedish Government Bonds;SE GVB 10Y;5.63
13/01/1998;Swedish Government Bonds;SE GVB 10Y;5.62
14/01/1998;Swedish Government Bonds;SE GVB 10Y;5.61
15/01/1998;Swedish Government Bonds;SE GVB 10Y;5.64
16/01/1998;Swedish Government Bonds;SE GVB 10Y;5.67
19/01/1998;Swedish Government Bonds;SE GVB 10Y;5.63
20/01/1998;Swedish Government Bonds;SE GVB 10Y;5.60
21/01/1998;Swedish Government Bonds;SE GVB 10Y;5.65
22/01/1998;Swedish Government Bonds;SE GVB 10Y;5.67
23/01/1998;Swedish Government Bonds;SE GVB 10Y;5.70
26/01/1998;Swedish Government Bonds;SE GVB 10Y;5.69
27/01/1998;Swedish Government Bonds;SE GVB 10Y;5.67
28/01/1998;Swedish Government Bonds;SE GVB 10Y;5.66
29/01/1998;Swedish Government Bonds;SE GVB 10Y;5.68
30/01/1998;Swedish Government Bonds;SE GVB 10Y;5.65
02/02/1998;Swedish Government Bonds;SE GVB 10Y;5.64
03/02/1998;Swedish Government Bonds;SE GVB 10Y;5.66
04/02/1998;Swedish Government Bonds;SE GVB 10Y;5.69
05/02/1998;Swedish Government Bonds;SE GVB 10Y;5.72
06/02/1998;Swedish Government Bonds;SE GVB 10Y;5.71
09/02/1998;Swedish Government Bonds;SE GVB 10Y;5.73
10/02/1998;Swedish Government Bonds;SE GVB 10Y;5.71
11/02/1998;Swedish Government Bonds;SE GVB 10Y;5.60
12/02/1998;Swedish Government Bonds;SE GVB 10Y;5.54
13/02/1998;Swedish Government Bonds;SE GVB 10Y;5.53
16/02/1998;Swedish Government Bonds;SE GVB 10Y;5.51
17/02/1998;Swedish Government Bonds;SE GVB 10Y;5.48
18/02/1998;Swedish Government Bonds;SE GVB 10Y;5.50
19/02/1998;Swedish Government Bonds;SE GVB 10Y;5.49
20/02/1998;Swedish Government Bonds;SE GVB 10Y;5.50
23/02/1998;Swedish Government Bonds;SE GVB 10Y;5.45
24/02/1998;Swedish Government Bonds;SE GVB 10Y;5.44
25/02/1998;Swedish Government Bonds;SE GVB 10Y;5.45
26/02/1998;Swedish Government Bonds;SE GVB 10Y;5.43
27/02/1998;Swedish Government Bonds;SE GVB 10Y;5.49
02/03/1998;Swedish Government Bonds;SE GVB 10Y;5.47
03/03/1998;Swedish Government Bonds;SE GVB 10Y;5.48
04/03/1998;Swedish Government Bonds;SE GVB 10Y;5.58
05/03/1998;Swedish Government Bonds;SE GVB 10Y;5.58
06/03/1998;Swedish Government Bonds;SE GVB 10Y;5.54
09/03/1998;Swedish Government Bonds;SE GVB 10Y;5.47
10/03/1998;Swedish Government Bonds;SE GVB 10Y;5.44
11/03/1998;Swedish Government Bonds;SE GVB 10Y;5.41
12/03/1998;Swedish Government Bonds;SE GVB 10Y;5.32
13/03/1998;Swedish Government Bonds;SE GVB 10Y;5.35
16/03/1998;Swedish Government Bonds;SE GVB 10Y;5.33
17/03/1998;Swedish Government Bonds;SE GVB 10Y;5.29
18/03/1998;Swedish Government Bonds;SE GVB 10Y;5.30
19/03/1998;Swedish Government Bonds;SE GVB 10Y;5.34
20/03/1998;Swedish Government Bonds;SE GVB 10Y;5.31
23/03/1998;Swedish Government Bonds;SE GVB 10Y;5.34
24/03/1998;Swedish Government Bonds;SE GVB 10Y;5.30
25/03/1998;Swedish Government Bonds;SE GVB 10Y;5.24
26/03/1998;Swedish Government Bonds;SE GVB 10Y;5.27
27/03/1998;Swedish Government Bonds;SE GVB 10Y;5.28
30/03/1998;Swedish Government Bonds;SE GVB 10Y;5.32
31/03/1998;Swedish Government Bonds;SE GVB 10Y;5.32
01/04/1998;Swedish Government Bonds;SE GVB 10Y;5.33
02/04/1998;Swedish Government Bonds;SE GVB 10Y;5.28
03/04/1998;Swedish Government Bonds;SE GVB 10Y;5.18
06/04/1998;Swedish Government Bonds;SE GVB 10Y;5.17
07/04/1998;Swedish Government Bonds;SE GVB 10Y;5.18
08/04/1998;Swedish Government Bonds;SE GVB 10Y;5.20
09/04/1998;Swedish Government Bonds;SE GVB 10Y;5.20
14/04/1998;Swedish Government Bonds;SE GVB 10Y;5.18
15/04/1998;Swedish Government Bonds;SE GVB 10Y;5.19
16/04/1998;Swedish Government Bonds;SE GVB 10Y;5.16
17/04/1998;Swedish Government Bonds;SE GVB 10Y;5.15
20/04/1998;Swedish Government Bonds;SE GVB 10Y;5.17
21/04/1998;Swedish Government Bonds;SE GVB 10Y;5.21
22/04/1998;Swedish Government Bonds;SE GVB 10Y;5.24
23/04/1998;Swedish Government Bonds;SE GVB 10Y;5.22
24/04/1998;Swedish Government Bonds;SE GVB 10Y;5.23
27/04/1998;Swedish Government Bonds;SE GVB 10Y;5.33
28/04/1998;Swedish Government Bonds;SE GVB 10Y;5.36
29/04/1998;Swedish Government Bonds;SE GVB 10Y;5.39
30/04/1998;Swedish Government Bonds;SE GVB 10Y;5.38
04/05/1998;Swedish Government Bonds;SE GVB 10Y;5.27
05/05/1998;Swedish Government Bonds;SE GVB 10Y;5.31
06/05/1998;Swedish Government Bonds;SE GVB 10Y;5.32
07/05/1998;Swedish Government Bonds;SE GVB 10Y;5.32
08/05/1998;Swedish Government Bonds;SE GVB 10Y;5.29
11/05/1998;Swedish Government Bonds;SE GVB 10Y;5.28
12/05/1998;Swedish Government Bonds;SE GVB 10Y;5.32
13/05/1998;Swedish Government Bonds;SE GVB 10Y;5.28
14/05/1998;Swedish Government Bonds;SE GVB 10Y;5.29
15/05/1998;Swedish Government Bonds;SE GVB 10Y;5.30
18/05/1998;Swedish Government Bonds;SE GVB 10Y;5.27
19/05/1998;Swedish Government Bonds;SE GVB 10Y;5.24
20/05/1998;Swedish Government Bonds;SE GVB 10Y;5.19
22/05/1998;Swedish Government Bonds;SE GVB 10Y;5.18
25/05/1998;Swedish Government Bonds;SE GVB 10Y;5.14
26/05/1998;Swedish Government Bonds;SE GVB 10Y;5.11
27/05/1998;Swedish Government Bonds;SE GVB 10Y;5.09
28/05/1998;Swedish Government Bonds;SE GVB 10Y;5.12
29/05/1998;Swedish Government Bonds;SE GVB 10Y;5.09
02/06/1998;Swedish Government Bonds;SE GVB 10Y;5.07
03/06/1998;Swedish Government Bonds;SE GVB 10Y;5.08
04/06/1998;Swedish Government Bonds;SE GVB 10Y;5.04
05/06/1998;Swedish Government Bonds;SE GVB 10Y;5.04
08/06/1998;Swedish Government Bonds;SE GVB 10Y;5.04
09/06/1998;Swedish Government Bonds;SE GVB 10Y;5.06
10/06/1998;Swedish Government Bonds;SE GVB 10Y;4.99
11/06/1998;Swedish Government Bonds;SE GVB 10Y;4.94
12/06/1998;Swedish Government Bonds;SE GVB 10Y;4.97
15/06/1998;Swedish Government Bonds;SE GVB 10Y;4.94
16/06/1998;Swedish Government Bonds;SE GVB 10Y;4.98
17/06/1998;Swedish Government Bonds;SE GVB 10Y;5.03
18/06/1998;Swedish Government Bonds;SE GVB 10Y;5.03
22/06/1998;Swedish Government Bonds;SE GVB 10Y;5.00
23/06/1998;Swedish Government Bonds;SE GVB 10Y;5.00
24/06/1998;Swedish Government Bonds;SE GVB 10Y;4.98
25/06/1998;Swedish Government Bonds;SE GVB 10Y;4.98
26/06/1998;Swedish Government Bonds;SE GVB 10Y;4.97
29/06/1998;Swedish Government Bonds;SE GVB 10Y;4.96
30/06/1998;Swedish Government Bonds;SE GVB 10Y;4.98
01/07/1998;Swedish Government Bonds;SE GVB 10Y;4.98
02/07/1998;Swedish Government Bonds;SE GVB 10Y;4.935
03/07/1998;Swedish Government Bonds;SE GVB 10Y;4.92
06/07/1998;Swedish Government Bonds;SE GVB 10Y;4.89
07/07/1998;Swedish Government Bonds;SE GVB 10Y;4.915
08/07/1998;Swedish Government Bonds;SE GVB 10Y;4.905
09/07/1998;Swedish Government Bonds;SE GVB 10Y;4.91
10/07/1998;Swedish Government Bonds;SE GVB 10Y;4.89
13/07/1998;Swedish Government Bonds;SE GVB 10Y;4.91
14/07/1998;Swedish Government Bonds;SE GVB 10Y;4.915
15/07/1998;Swedish Government Bonds;SE GVB 10Y;4.925
16/07/1998;Swedish Government Bonds;SE GVB 10Y;4.935
17/07/1998;Swedish Government Bonds;SE GVB 10Y;4.93
20/07/1998;Swedish Government Bonds;SE GVB 10Y;4.93
21/07/1998;Swedish Government Bonds;SE GVB 10Y;4.90
22/07/1998;Swedish Government Bonds;SE GVB 10Y;4.905
23/07/1998;Swedish Government Bonds;SE GVB 10Y;4.895
24/07/1998;Swedish Government Bonds;SE GVB 10Y;4.905
27/07/1998;Swedish Government Bonds;SE GVB 10Y;4.895
28/07/1998;Swedish Government Bonds;SE GVB 10Y;4.905
29/07/1998;Swedish Government Bonds;SE GVB 10Y;4.89
30/07/1998;Swedish Government Bonds;SE GVB 10Y;4.90
31/07/1998;Swedish Government Bonds;SE GVB 10Y;4.905
03/08/1998;Swedish Government Bonds;SE GVB 10Y;4.89
04/08/1998;Swedish Government Bonds;SE GVB 10Y;4.905
05/08/1998;Swedish Government Bonds;SE GVB 10Y;4.875
06/08/1998;Swedish Government Bonds;SE GVB 10Y;4.88
07/08/1998;Swedish Government Bonds;SE GVB 10Y;4.87
10/08/1998;Swedish Government Bonds;SE GVB 10Y;4.875
11/08/1998;Swedish Government Bonds;SE GVB 10Y;4.825
12/08/1998;Swedish Government Bonds;SE GVB 10Y;4.805
13/08/1998;Swedish Government Bonds;SE GVB 10Y;4.805
14/08/1998;Swedish Government Bonds;SE GVB 10Y;4.79
17/08/1998;Swedish Government Bonds;SE GVB 10Y;4.765
18/08/1998;Swedish Government Bonds;SE GVB 10Y;4.77
19/08/1998;Swedish Government Bonds;SE GVB 10Y;4.78
20/08/1998;Swedish Government Bonds;SE GVB 10Y;4.725
21/08/1998;Swedish Government Bonds;SE GVB 10Y;4.665
24/08/1998;Swedish Government Bonds;SE GVB 10Y;4.715
25/08/1998;Swedish Government Bonds;SE GVB 10Y;4.96
26/08/1998;Swedish Government Bonds;SE GVB 10Y;4.875
27/08/1998;Swedish Government Bonds;SE GVB 10Y;4.94
28/08/1998;Swedish Government Bonds;SE GVB 10Y;4.895
31/08/1998;Swedish Government Bonds;SE GVB 10Y;4.82
01/09/1998;Swedish Government Bonds;SE GVB 10Y;4.795
02/09/1998;Swedish Government Bonds;SE GVB 10Y;4.885
03/09/1998;Swedish Government Bonds;SE GVB 10Y;4.925
04/09/1998;Swedish Government Bonds;SE GVB 10Y;4.935
07/09/1998;Swedish Government Bonds;SE GVB 10Y;4.915
08/09/1998;Swedish Government Bonds;SE GVB 10Y;4.905
09/09/1998;Swedish Government Bonds;SE GVB 10Y;4.81
10/09/1998;Swedish Government Bonds;SE GVB 10Y;4.76
11/09/1998;Swedish Government Bonds;SE GVB 10Y;4.71
14/09/1998;Swedish Government Bonds;SE GVB 10Y;4.73
15/09/1998;Swedish Government Bonds;SE GVB 10Y;4.705
16/09/1998;Swedish Government Bonds;SE GVB 10Y;4.74
17/09/1998;Swedish Government Bonds;SE GVB 10Y;4.755
18/09/1998;Swedish Government Bonds;SE GVB 10Y;4.735
21/09/1998;Swedish Government Bonds;SE GVB 10Y;4.89
22/09/1998;Swedish Government Bonds;SE GVB 10Y;4.835
23/09/1998;Swedish Government Bonds;SE GVB 10Y;4.86
24/09/1998;Swedish Government Bonds;SE GVB 10Y;4.875
25/09/1998;Swedish Government Bonds;SE GVB 10Y;4.88
28/09/1998;Swedish Government Bonds;SE GVB 10Y;4.85
29/09/1998;Swedish Government Bonds;SE GVB 10Y;4.825
30/09/1998;Swedish Government Bonds;SE GVB 10Y;4.755
01/10/1998;Swedish Government Bonds;SE GVB 10Y;4.655
02/10/1998;Swedish Government Bonds;SE GVB 10Y;4.585
05/10/1998;Swedish Government Bonds;SE GVB 10Y;4.575
06/10/1998;Swedish Government Bonds;SE GVB 10Y;4.615
07/10/1998;Swedish Government Bonds;SE GVB 10Y;4.615
08/10/1998;Swedish Government Bonds;SE GVB 10Y;4.785
09/10/1998;Swedish Government Bonds;SE GVB 10Y;4.985
12/10/1998;Swedish Government Bonds;SE GVB 10Y;4.965
13/10/1998;Swedish Government Bonds;SE GVB 10Y;4.86
14/10/1998;Swedish Government Bonds;SE GVB 10Y;4.865
15/10/1998;Swedish Government Bonds;SE GVB 10Y;4.795
16/10/1998;Swedish Government Bonds;SE GVB 10Y;4.76
19/10/1998;Swedish Government Bonds;SE GVB 10Y;4.77
20/10/1998;Swedish Government Bonds;SE GVB 10Y;4.79
21/10/1998;Swedish Government Bonds;SE GVB 10Y;4.725
22/10/1998;Swedish Government Bonds;SE GVB 10Y;4.745
23/10/1998;Swedish Government Bonds;SE GVB 10Y;4.755
26/10/1998;Swedish Government Bonds;SE GVB 10Y;4.785
27/10/1998;Swedish Government Bonds;SE GVB 10Y;4.744
28/10/1998;Swedish Government Bonds;SE GVB 10Y;4.736
29/10/1998;Swedish Government Bonds;SE GVB 10Y;4.735
30/10/1998;Swedish Government Bonds;SE GVB 10Y;4.675
02/11/1998;Swedish Government Bonds;SE GVB 10Y;4.66
03/11/1998;Swedish Government Bonds;SE GVB 10Y;4.655
04/11/1998;Swedish Government Bonds;SE GVB 10Y;4.645
05/11/1998;Swedish Government Bonds;SE GVB 10Y;4.64
06/11/1998;Swedish Government Bonds;SE GVB 10Y;4.703
09/11/1998;Swedish Government Bonds;SE GVB 10Y;4.725
