Date;Group;Series;Value
02/01/2008;Treasury Bills;SE 12M;4.12
03/01/2008;Treasury Bills;SE 12M;4.104
04/01/2008;Treasury Bills;SE 12M;4.075
07/01/2008;Treasury Bills;SE 12M;4.08
08/01/2008;Treasury Bills;SE 12M;4.106
09/01/2008;Treasury Bills;SE 12M;4.076
10/01/2008;Treasury Bills;SE 12M;4.092
11/01/2008;Treasury Bills;SE 12M;4.076
14/01/2008;Treasury Bills;SE 12M;4.007
15/01/2008;Treasury Bills;SE 12M;3.972
16/01/2008;Treasury Bills;SE 12M;3.957
17/01/2008;Treasury Bills;SE 12M;3.907
18/01/2008;Treasury Bills;SE 12M;3.908
21/01/2008;Treasury Bills;SE 12M;3.848
22/01/2008;Treasury Bills;SE 12M;3.787
23/01/2008;Treasury Bills;SE 12M;3.723
24/01/2008;Treasury Bills;SE 12M;3.814
25/01/2008;Treasury Bills;SE 12M;3.849
28/01/2008;Treasury Bills;SE 12M;3.814
29/01/2008;Treasury Bills;SE 12M;3.833
30/01/2008;Treasury Bills;SE 12M;3.855
31/01/2008;Treasury Bills;SE 12M;3.789
01/02/2008;Treasury Bills;SE 12M;3.82
04/02/2008;Treasury Bills;SE 12M;3.86
05/02/2008;Treasury Bills;SE 12M;3.821
06/02/2008;Treasury Bills;SE 12M;3.811
07/02/2008;Treasury Bills;SE 12M;3.765
08/02/2008;Treasury Bills;SE 12M;3.751
11/02/2008;Treasury Bills;SE 12M;3.766
12/02/2008;Treasury Bills;SE 12M;3.792
13/02/2008;Treasury Bills;SE 12M;4.034
14/02/2008;Treasury Bills;SE 12M;4.084
15/02/2008;Treasury Bills;SE 12M;4.078
18/02/2008;Treasury Bills;SE 12M;4.094
19/02/2008;Treasury Bills;SE 12M;4.069
20/02/2008;Treasury Bills;SE 12M;4.084
21/02/2008;Treasury Bills;SE 12M;4.115
22/02/2008;Treasury Bills;SE 12M;4.11
25/02/2008;Treasury Bills;SE 12M;4.105
26/02/2008;Treasury Bills;SE 12M;4.126
27/02/2008;Treasury Bills;SE 12M;4.111
28/02/2008;Treasury Bills;SE 12M;4.112
29/02/2008;Treasury Bills;SE 12M;4.082
03/03/2008;Treasury Bills;SE 12M;4.091
04/03/2008;Treasury Bills;SE 12M;4.098
05/03/2008;Treasury Bills;SE 12M;4.097
06/03/2008;Treasury Bills;SE 12M;4.098
07/03/2008;Treasury Bills;SE 12M;4.088
10/03/2008;Treasury Bills;SE 12M;4.093
11/03/2008;Treasury Bills;SE 12M;4.093
12/03/2008;Treasury Bills;SE 12M;4.098
13/03/2008;Treasury Bills;SE 12M;4.089
14/03/2008;Treasury Bills;SE 12M;4.10
17/03/2008;Treasury Bills;SE 12M;4.004
18/03/2008;Treasury Bills;SE 12M;4.004
19/03/2008;Treasury Bills;SE 12M;4.006
20/03/2008;Treasury Bills;SE 12M;3.991
25/03/2008;Treasury Bills;SE 12M;4.031
26/03/2008;Treasury Bills;SE 12M;4.057
27/03/2008;Treasury Bills;SE 12M;4.063
28/03/2008;Treasury Bills;SE 12M;4.058
31/03/2008;Treasury Bills;SE 12M;4.053
01/04/2008;Treasury Bills;SE 12M;4.068
02/04/2008;Treasury Bills;SE 12M;4.069
03/04/2008;Treasury Bills;SE 12M;4.063
04/04/2008;Treasury Bills;SE 12M;4.064
07/04/2008;Treasury Bills;SE 12M;4.055
08/04/2008;Treasury Bills;SE 12M;4.059
09/04/2008;Treasury Bills;SE 12M;4.049
10/04/2008;Treasury Bills;SE 12M;4.05
11/04/2008;Treasury Bills;SE 12M;4.04
14/04/2008;Treasury Bills;SE 12M;4.046
15/04/2008;Treasury Bills;SE 12M;4.041
16/04/2008;Treasury Bills;SE 12M;4.042
17/04/2008;Treasury Bills;SE 12M;4.047
18/04/2008;Treasury Bills;SE 12M;4.053
21/04/2008;Treasury Bills;SE 12M;4.052
22/04/2008;Treasury Bills;SE 12M;4.073
23/04/2008;Treasury Bills;SE 12M;4.094
24/04/2008;Treasury Bills;SE 12M;4.088
25/04/2008;Treasury Bills;SE 12M;4.105
28/04/2008;Treasury Bills;SE 12M;4.104
29/04/2008;Treasury Bills;SE 12M;4.091
30/04/2008;Treasury Bills;SE 12M;4.105
02/05/2008;Treasury Bills;SE 12M;4.107
05/05/2008;Treasury Bills;SE 12M;4.096
06/05/2008;Treasury Bills;SE 12M;4.086
07/05/2008;Treasury Bills;SE 12M;4.101
08/05/2008;Treasury Bills;SE 12M;4.092
09/05/2008;Treasury Bills;SE 12M;4.093
12/05/2008;Treasury Bills;SE 12M;4.098
13/05/2008;Treasury Bills;SE 12M;4.109
14/05/2008;Treasury Bills;SE 12M;4.123
15/05/2008;Treasury Bills;SE 12M;4.135
16/05/2008;Treasury Bills;SE 12M;4.144
19/05/2008;Treasury Bills;SE 12M;4.119
20/05/2008;Treasury Bills;SE 12M;4.115
21/05/2008;Treasury Bills;SE 12M;4.146
22/05/2008;Treasury Bills;SE 12M;4.203
