"CubeId";"rendoblid"
"PublishingDate";"2017-07-03 14:30"

"Date";"D0";"Value"
"1998-01-01";"1J";
"1998-01-01";"2J";
"1998-01-01";"3J";
"1998-01-01";"4J";
"1998-01-01";"5J";
"1998-01-01";"6J";
"1998-01-01";"7J";
"1998-01-01";"8J";
"1998-01-01";"9J";
"1998-01-01";"10J0";
"1998-01-01";"20J";
"1998-01-01";"30J";
"1998-01-01";"10J1";
"1998-01-01";"E";
"1998-01-01";"K";
"1998-01-01";"P";
"1998-01-01";"GK";
"1998-01-01";"IKH";
"1998-01-01";"AAA";
"1998-01-01";"AA";
"1998-01-01";"A";
"1998-01-02";"1J";
"1998-01-02";"2J";
"1998-01-02";"3J";
"1998-01-02";"4J";
"1998-01-02";"5J";
"1998-01-02";"6J";
"1998-01-02";"7J";
"1998-01-02";"8J";
"1998-01-02";"9J";
"1998-01-02";"10J0";
"1998-01-02";"20J";
"1998-01-02";"30J";
"1998-01-02";"10J1";"5.545"
"1998-01-02";"E";
"1998-01-02";"K";
"1998-01-02";"P";
"1998-01-02";"GK";
"1998-01-02";"IKH";
"1998-01-02";"AAA";
"1998-01-02";"AA";
"1998-01-02";"A";
"1998-01-05";"1J";
"1998-01-05";"2J";
"1998-01-05";"3J";
"1998-01-05";"4J";
"1998-01-05";"5J";
"1998-01-05";"6J";
"1998-01-05";"7J";
"1998-01-05";"8J";
"1998-01-05";"9J";
"1998-01-05";"10J0";
"1998-01-05";"20J";
"1998-01-05";"30J";
"1998-01-05";"10J1";"5.401"
"1998-01-05";"E";
"1998-01-05";"K";
"1998-01-05";"P";"3.462"
"1998-01-05";"GK";
"1998-01-05";"IKH";
"1998-01-05";"AAA";
"1998-01-05";"AA";
"1998-01-05";"A";
"1998-01-06";"1J";"1.652"
"1998-01-06";"2J";"1.869"
"1998-01-06";"3J";"2.108"
"1998-01-06";"4J";"2.34"
"1998-01-06";"5J";"2.555"
"1998-01-06";"6J";"2.75"
"1998-01-06";"7J";"2.925"
"1998-01-06";"8J";"3.084"
"1998-01-06";"9J";"3.227"
"1998-01-06";"10J0";"3.356"
"1998-01-06";"20J";"4.142"
"1998-01-06";"30J";"4.484"
"1998-01-06";"10J1";"5.328"
"1998-01-06";"E";"3.084"
"1998-01-06";"K";
"1998-01-06";"P";
"1998-01-06";"GK";
"1998-01-06";"IKH";
"1998-01-06";"AAA";
"1998-01-06";"AA";
"1998-01-06";"A";
"1998-01-07";"1J";"1.608"
"1998-01-07";"2J";"1.809"
"1998-01-07";"3J";"2.054"
"1998-01-07";"4J";"2.297"
"1998-01-07";"5J";"2.52"
"1998-01-07";"6J";"2.722"
"1998-01-07";"7J";"2.902"
"1998-01-07";"8J";"3.062"
"1998-01-07";"9J";"3.204"
"1998-01-07";"10J0";"3.331"
"1998-01-07";"20J";"4.071"
"1998-01-07";"30J";"4.375"
"1998-01-07";"10J1";"5.286"
"1998-01-07";"E";"3.062"
"1998-01-07";"K";
"1998-01-07";"P";
"1998-01-07";"GK";
"1998-01-07";"IKH";
"1998-01-07";"AAA";
"1998-01-07";"AA";
"1998-01-07";"A";
"1998-01-08";"1J";"1.537"
"1998-01-08";"2J";"1.748"
"1998-01-08";"3J";"2.016"
"1998-01-08";"4J";"2.276"
"1998-01-08";"5J";"2.512"
"1998-01-08";"6J";"2.721"
"1998-01-08";"7J";"2.906"
"1998-01-08";"8J";"3.068"
"1998-01-08";"9J";"3.212"
"1998-01-08";"10J0";"3.339"
"1998-01-08";"20J";"4.057"
"1998-01-08";"30J";"4.342"
"1998-01-08";"10J1";"5.336"
"1998-01-08";"E";"3.068"
"1998-01-08";"K";
"1998-01-08";"P";
"1998-01-08";"GK";
"1998-01-08";"IKH";
"1998-01-08";"AAA";
"1998-01-08";"AA";
"1998-01-08";"A";
"1998-01-09";"1J";"1.524"
"1998-01-09";"2J";"1.724"
"1998-01-09";"3J";"1.98"
"1998-01-09";"4J";"2.232"
"1998-01-09";"5J";"2.463"
"1998-01-09";"6J";"2.67"
"1998-01-09";"7J";"2.855"
"1998-01-09";"8J";"3.018"
"1998-01-09";"9J";"3.163"
"1998-01-09";"10J0";"3.292"
"1998-01-09";"20J";"4.035"
"1998-01-09";"30J";"4.336"
"1998-01-09";"10J1";"5.266"
"1998-01-09";"E";"3.018"
