AUD curncy,1998-1-12,0.6421
AUD20Y curncy,1998-1-12,
ADSWAP20 curncy,1998-1-12,6.425
ADBS20 curncy,1998-1-12,
CAD curncy,1998-1-12,1.4344
CAD20Y curncy,1998-1-12,
CHF curncy,1998-1-12,1.4768
CDSW20 curncy,1998-1-12,
CHF20Y curncy,1998-1-12,
CDBS20 curncy,1998-1-12,
GBP curncy,1998-1-12,1.6225
SFSW20 curncy,1998-1-12,
GBP20Y curncy,1998-1-12,
JPY curncy,1998-1-12,132.63
SFBS20 curncy,1998-1-12,
NOK curncy,1998-1-12,7.5273
JPY20Y curncy,1998-1-12,
BPSW20 curncy,1998-1-12,6.37
NZD curncy,1998-1-12,0.5681
NOK20Y curncy,1998-1-12,
BPBS20 curncy,1998-1-12,
SEK curncy,1998-1-12,8.0437
NZD20Y curncy,1998-1-12,
JYSW20 curncy,1998-1-12,2.74
JYBS20 curncy,1998-1-12,
NKSW20 curncy,1998-1-12,
USSWAP20 curncy,1998-1-12,6.08
SEK20Y curncy,1998-1-12,
DEM curncy,1998-1-12,1.8205
NDSWAP20 curncy,1998-1-12,
NKBS20 curncy,1998-1-12,
SKSW20 curncy,1998-1-12,
NDBS20 curncy,1998-1-12,
DMBS20 curncy,1998-1-12,
SKBS20 curncy,1998-1-12,
DMSW20 curncy,1998-1-12,
AUD curncy,1998-2-12,0.6746
AUD20Y curncy,1998-2-12,
ADSWAP20 curncy,1998-2-12,6.605
ADBS20 curncy,1998-2-12,
CAD20Y curncy,1998-2-12,
CAD curncy,1998-2-12,1.4376
CHF curncy,1998-2-12,1.4538
CHF20Y curncy,1998-2-12,
CDBS20 curncy,1998-2-12,
CDSW20 curncy,1998-2-12,
GBP curncy,1998-2-12,1.6395
GBP20Y curncy,1998-2-12,
SFBS20 curncy,1998-2-12,
SFSW20 curncy,1998-2-12,3.85
JPY curncy,1998-2-12,124.69
JPY20Y curncy,1998-2-12,
NOK curncy,1998-2-12,7.5213
NOK20Y curncy,1998-2-12,
BPBS20 curncy,1998-2-12,
BPSW20 curncy,1998-2-12,6.395
NZD curncy,1998-2-12,0.5828
NZD20Y curncy,1998-2-12,
SEK curncy,1998-2-12,8.0583
JYBS20 curncy,1998-2-12,
JYSW20 curncy,1998-2-12,2.91
SEK20Y curncy,1998-2-12,
USSWAP20 curncy,1998-2-12,6.22
NKSW20 curncy,1998-2-12,
NKBS20 curncy,1998-2-12,
DEM curncy,1998-2-12,1.8086
NDBS20 curncy,1998-2-12,
NDSWAP20 curncy,1998-2-12,
DMBS20 curncy,1998-2-12,
SKBS20 curncy,1998-2-12,
SKSW20 curncy,1998-2-12,
DMSW20 curncy,1998-2-12,5.63
AUD curncy,1998-3-18,0.6619
AUD20Y curncy,1998-3-18,
ADSWAP20 curncy,1998-3-18,6.435
ADBS20 curncy,1998-3-18,
CAD curncy,1998-3-18,1.4188
CAD20Y curncy,1998-3-18,
CHF curncy,1998-3-18,1.4918
CDSW20 curncy,1998-3-18,
CHF20Y curncy,1998-3-18,
CDBS20 curncy,1998-3-18,
GBP curncy,1998-3-18,1.6699
GBP20Y curncy,1998-3-18,
JPY curncy,1998-3-18,130.04
SFSW20 curncy,1998-3-18,3.88
NOK curncy,1998-3-18,7.6135
JPY20Y curncy,1998-3-18,
SFBS20 curncy,1998-3-18,
BPSW20 curncy,1998-3-18,6.325
NZD curncy,1998-3-18,0.5629
NOK20Y curncy,1998-3-18,
BPBS20 curncy,1998-3-18,
SEK curncy,1998-3-18,7.9525
JYSW20 curncy,1998-3-18,2.74
NZD20Y curncy,1998-3-18,
NKSW20 curncy,1998-3-18,
SEK20Y curncy,1998-3-18,
JYBS20 curncy,1998-3-18,
USSWAP20 curncy,1998-3-18,6.27
NDSWAP20 curncy,1998-3-18,
DEM curncy,1998-3-18,1.8285
NKBS20 curncy,1998-3-18,
SKSW20 curncy,1998-3-18,
NDBS20 curncy,1998-3-18,
DMBS20 curncy,1998-3-18,
DMSW20 curncy,1998-3-18,5.5
SKBS20 curncy,1998-3-18,
AUD curncy,1998-4-21,0.6515
AUD20Y curncy,1998-4-21,
ADSWAP20 curncy,1998-4-21,6.48
CAD curncy,1998-4-21,1.4318
ADBS20 curncy,1998-4-21,
