AUD curncy,1998-1-12,0.6421
US0003M curncy,1998-1-12,5.57813
CAD curncy,1998-1-12,1.4344
AUD3M curncy,1998-1-12,9.17
BBSW3M curncy,1998-1-12,4.945
DEM curncy,1998-1-12,1.8205
CHF curncy,1998-1-12,1.4768
DEM3M curncy,1998-1-12,-90
GBP curncy,1998-1-12,1.6225
CDOR03 curncy,1998-1-12,4.592
CAD3M curncy,1998-1-12,-35.5
JPY curncy,1998-1-12,132.63
SF0003M curncy,1998-1-12,1.24609
DM0003M curncy,1998-1-12,3.53516
NOK curncy,1998-1-12,7.5273
CHF3M curncy,1998-1-12,-156.5
BP0003M curncy,1998-1-12,7.49609
NZD curncy,1998-1-12,0.5681
GBP3M curncy,1998-1-12,-73
SEK curncy,1998-1-12,8.0437
JY0003M curncy,1998-1-12,0.73438
JPY3M curncy,1998-1-12,-167
NIBOR3M curncy,1998-1-12,3.78
NDBB3M curncy,1998-1-12,9.05
NOK3M curncy,1998-1-12,-341.5
NZD3M curncy,1998-1-12,-46.5
STBB3M curncy,1998-1-12,
SEK3M curncy,1998-1-12,-173.5
AUD curncy,1998-2-12,0.6746
BBSW3M curncy,1998-2-12,4.9483
US0003M curncy,1998-2-12,5.625
AUD3M curncy,1998-2-12,10.41
CAD curncy,1998-2-12,1.4376
DEM curncy,1998-2-12,1.8086
CDOR03 curncy,1998-2-12,4.966
CHF curncy,1998-2-12,1.4538
CAD3M curncy,1998-2-12,-23.5
DEM3M curncy,1998-2-12,-94
GBP curncy,1998-2-12,1.6395
SF0003M curncy,1998-2-12,1.16016
JPY curncy,1998-2-12,124.69
DM0003M curncy,1998-2-12,3.52344
BP0003M curncy,1998-2-12,7.50391
CHF3M curncy,1998-2-12,-160
JY0003M curncy,1998-2-12,0.83984
NOK curncy,1998-2-12,7.5213
GBP3M curncy,1998-2-12,-71.48
NZD curncy,1998-2-12,0.5828
NIBOR3M curncy,1998-2-12,3.83
JPY3M curncy,1998-2-12,-155.5
NDBB3M curncy,1998-2-12,9.025
SEK curncy,1998-2-12,8.0583
STBB3M curncy,1998-2-12,
NOK3M curncy,1998-2-12,-342
NZD3M curncy,1998-2-12,-45.5
SEK3M curncy,1998-2-12,-184
AUD curncy,1998-3-18,0.6619
BBSW3M curncy,1998-3-18,4.96
AUD3M curncy,1998-3-18,12
CAD curncy,1998-3-18,1.4188
US0003M curncy,1998-3-18,5.6875
CHF curncy,1998-3-18,1.4918
CDOR03 curncy,1998-3-18,4.852
DEM curncy,1998-3-18,1.8285
GBP curncy,1998-3-18,1.6699
CAD3M curncy,1998-3-18,-30
SF0003M curncy,1998-3-18,1.13281
DEM3M curncy,1998-3-18,-97.25
JPY curncy,1998-3-18,130.04
BP0003M curncy,1998-3-18,7.5625
CHF3M curncy,1998-3-18,-170
NOK curncy,1998-3-18,7.6135
DM0003M curncy,1998-3-18,3.51563
JY0003M curncy,1998-3-18,0.70313
NZD curncy,1998-3-18,0.5629
GBP3M curncy,1998-3-18,-74.16
NIBOR3M curncy,1998-3-18,4.19
SEK curncy,1998-3-18,7.9525
NDBB3M curncy,1998-3-18,9.17
JPY3M curncy,1998-3-18,-165.5
STBB3M curncy,1998-3-18,
NOK3M curncy,1998-3-18,-301.5
NZD3M curncy,1998-3-18,-46.5
SEK3M curncy,1998-3-18,-222.5
AUD curncy,1998-4-21,0.6515
US0003M curncy,1998-4-21,5.6875
AUD3M curncy,1998-4-21,12.2
BBSW3M curncy,1998-4-21,4.9517
CAD curncy,1998-4-21,1.4318
CHF curncy,1998-4-21,1.4821
DEM curncy,1998-4-21,1.7858
CDOR03 curncy,1998-4-21,4.904
